Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,2485.9083,588.8960,47.75%,57.90%,0.4690,0.4775,0.4678,0.5880,0.5790,0.5738,9.59s,None
2,2328.0266,566.0682,60.26%,65.05%,0.5971,0.6026,0.5990,0.6515,0.6505,0.6445,8.53s,None
3,2262.8756,558.9027,65.25%,67.07%,0.6491,0.6525,0.6505,0.6850,0.6707,0.6719,8.64s,None
4,2215.4829,549.9810,69.27%,70.04%,0.6897,0.6927,0.6909,0.7197,0.7004,0.7034,8.59s,None
5,2186.1715,547.4839,71.58%,71.01%,0.7134,0.7158,0.7143,0.7266,0.7101,0.7109,8.57s,None
6,2137.9815,537.0255,75.43%,74.42%,0.7523,0.7543,0.7530,0.7460,0.7442,0.7443,8.65s,None
7,2118.0954,535.8119,77.14%,74.65%,0.7701,0.7713,0.7706,0.7556,0.7465,0.7455,8.34s,None
8,2104.7494,535.2120,78.29%,74.92%,0.7815,0.7829,0.7821,0.7581,0.7492,0.7514,8.62s,None
9,2092.4473,531.0955,79.33%,76.35%,0.7924,0.7933,0.7928,0.7653,0.7635,0.7633,8.56s,None
10,2080.2132,531.6314,80.33%,75.82%,0.8024,0.8033,0.8027,0.7595,0.7582,0.7572,9.29s,None
11,2053.7554,527.5236,82.42%,77.39%,0.8235,0.8242,0.8238,0.7739,0.7739,0.7734,9.70s,None
12,2042.4093,526.7964,83.49%,77.60%,0.8341,0.8349,0.8344,0.7742,0.7760,0.7749,9.92s,None
13,2034.3007,526.6611,84.02%,77.66%,0.8394,0.8401,0.8397,0.7756,0.7766,0.7755,8.94s,None
14,2026.2542,526.7827,84.80%,77.51%,0.8476,0.8480,0.8477,0.7772,0.7751,0.7755,8.77s,None
15,2021.5216,526.6649,85.12%,77.54%,0.8506,0.8512,0.8509,0.7784,0.7754,0.7759,8.74s,None
16,2007.0772,524.6386,86.38%,78.20%,0.8634,0.8638,0.8635,0.7825,0.7820,0.7817,8.70s,None
17,2000.0209,525.2534,87.03%,77.98%,0.8698,0.8702,0.8700,0.7792,0.7798,0.7789,8.67s,None
