Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5048.2986,589.5402,43.95%,57.25%,0.4319,0.4395,0.4322,0.5816,0.5725,0.5667,39.34s,None
2,4741.7312,569.2887,56.47%,63.79%,0.5596,0.5646,0.5614,0.6527,0.6379,0.6329,38.34s,None
3,4617.5633,553.7024,61.43%,68.88%,0.6101,0.6143,0.6115,0.6862,0.6888,0.6838,38.14s,None
4,4537.3323,547.9491,64.75%,70.61%,0.6442,0.6475,0.6452,0.7109,0.7061,0.7074,38.07s,None
5,4483.4591,542.3216,66.93%,72.54%,0.6662,0.6693,0.6673,0.7221,0.7254,0.7211,38.12s,None
6,4382.4336,536.3537,71.04%,74.32%,0.7086,0.7104,0.7091,0.7446,0.7432,0.7429,37.98s,None
7,4348.2418,535.5467,72.46%,74.58%,0.7230,0.7246,0.7235,0.7483,0.7458,0.7445,38.22s,None
8,4315.5181,531.4617,73.83%,75.82%,0.7365,0.7383,0.7371,0.7565,0.7582,0.7559,38.17s,None
9,4294.0145,531.4227,74.75%,76.12%,0.7457,0.7475,0.7463,0.7644,0.7612,0.7602,38.16s,None
10,4276.8561,527.6017,75.45%,77.21%,0.7531,0.7545,0.7535,0.7740,0.7721,0.7717,38.14s,None
11,4217.6363,525.2319,77.91%,78.09%,0.7780,0.7791,0.7783,0.7822,0.7809,0.7807,39.42s,None
12,4201.2529,525.2022,78.51%,77.85%,0.7840,0.7851,0.7843,0.7783,0.7785,0.7782,41.26s,None
13,4185.6341,525.1203,79.23%,78.21%,0.7911,0.7923,0.7915,0.7828,0.7821,0.7819,37.98s,None
14,4166.1026,524.9835,80.05%,78.20%,0.7997,0.8005,0.8000,0.7841,0.7820,0.7817,37.81s,None
15,4162.4274,525.3400,80.23%,77.87%,0.8015,0.8024,0.8017,0.7827,0.7787,0.7799,37.77s,None
16,4128.9791,523.7323,81.49%,78.57%,0.8141,0.8149,0.8143,0.7876,0.7857,0.7859,37.82s,None
17,4118.6115,522.9763,82.01%,78.75%,0.8195,0.8201,0.8197,0.7863,0.7875,0.7865,38.03s,None
