Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,4992.6067,585.4881,46.34%,58.44%,0.4549,0.4634,0.4543,0.6026,0.5844,0.5850,29.23s,Simple
2,4682.8940,565.6658,58.91%,64.82%,0.5843,0.5891,0.5859,0.6452,0.6482,0.6428,48.16s,Simple
3,4557.5248,555.7200,63.92%,68.28%,0.6354,0.6392,0.6368,0.6859,0.6828,0.6795,29.03s,Simple
4,4467.8500,546.1552,67.55%,71.20%,0.6721,0.6755,0.6732,0.7147,0.7120,0.7109,50.01s,Simple
5,4424.7110,541.7409,69.25%,72.63%,0.6895,0.6925,0.6906,0.7273,0.7263,0.7250,62.34s,Simple
6,4363.0448,533.9519,71.84%,75.07%,0.7164,0.7184,0.7170,0.7521,0.7507,0.7506,25.92s,Complex
7,4322.1758,532.9744,73.53%,75.39%,0.7337,0.7353,0.7343,0.7568,0.7539,0.7546,25.79s,Complex
8,4241.3428,532.6166,76.79%,75.64%,0.7666,0.7679,0.7670,0.7627,0.7564,0.7560,24.00s,Complex
9,4284.4790,530.7607,75.10%,75.93%,0.7492,0.7510,0.7499,0.7573,0.7593,0.7564,25.07s,Complex
10,4254.1226,529.7313,76.30%,76.58%,0.7615,0.7630,0.7620,0.7695,0.7658,0.7669,25.30s,Complex
11,4224.3209,526.2986,77.55%,77.64%,0.7747,0.7755,0.7750,0.7735,0.7764,0.7739,25.59s,Complex
12,4166.1628,525.2451,80.04%,77.89%,0.7994,0.8004,0.7998,0.7779,0.7789,0.7765,53.47s,Complex
13,4137.4994,526.9298,81.14%,77.42%,0.8102,0.8114,0.8106,0.7802,0.7742,0.7751,48.55s,Simple
14,4130.5856,524.6994,81.46%,78.02%,0.8136,0.8146,0.8140,0.7815,0.7802,0.7797,40.87s,Simple
15,4115.7430,522.5860,82.01%,78.84%,0.8193,0.8201,0.8196,0.7874,0.7884,0.7876,51.22s,Simple
16,4164.6076,522.5547,80.10%,79.00%,0.7998,0.8010,0.8002,0.7917,0.7900,0.7901,38.42s,Simple
17,4164.7471,523.0649,80.10%,78.80%,0.7998,0.8010,0.8002,0.7894,0.7880,0.7884,37.34s,Simple
