Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,2601.6132,522.9548,29.39%,39.76%,0.2900,0.2939,0.2912,0.4450,0.3976,0.3828,38.89s,None
2,2043.2087,467.3495,41.44%,46.26%,0.4081,0.4143,0.4092,0.4773,0.4626,0.4590,38.52s,None
3,1842.4419,452.6461,47.31%,47.17%,0.4677,0.4731,0.4691,0.4893,0.4717,0.4683,38.70s,None
4,1718.5164,398.3023,51.04%,55.06%,0.5057,0.5104,0.5071,0.5510,0.5506,0.5447,38.60s,None
5,1612.1274,388.8892,54.30%,56.09%,0.5391,0.5430,0.5400,0.5685,0.5609,0.5610,37.56s,None
6,1447.8310,355.6318,59.33%,59.93%,0.5904,0.5933,0.5910,0.5959,0.5993,0.5946,38.90s,None
7,1377.7190,351.6073,61.15%,60.15%,0.6083,0.6115,0.6091,0.6117,0.6015,0.6024,38.60s,None
8,1333.7421,352.3609,62.70%,60.17%,0.6243,0.6270,0.6250,0.6066,0.6017,0.6019,38.62s,None
9,1281.7172,334.1670,63.87%,62.54%,0.6362,0.6387,0.6369,0.6286,0.6254,0.6245,38.74s,None
10,1223.0344,333.9811,65.57%,62.35%,0.6535,0.6557,0.6541,0.6329,0.6235,0.6273,38.84s,None
11,1085.5274,319.0834,69.78%,64.40%,0.6967,0.6978,0.6968,0.6532,0.6440,0.6470,38.38s,None
12,1036.9828,315.9603,70.74%,65.01%,0.7056,0.7074,0.7062,0.6606,0.6501,0.6525,38.68s,None
13,998.9938,320.2039,72.14%,64.00%,0.7204,0.7214,0.7206,0.6399,0.6400,0.6395,38.18s,None
14,955.3121,321.2690,73.22%,64.36%,0.7315,0.7322,0.7316,0.6518,0.6436,0.6456,38.73s,None
15,919.4400,319.6144,74.16%,64.70%,0.7405,0.7416,0.7409,0.6476,0.6470,0.6458,38.71s,None
16,808.9004,322.9255,77.42%,64.91%,0.7735,0.7742,0.7737,0.6500,0.6491,0.6479,38.47s,None
17,763.4703,324.0252,78.66%,64.80%,0.7860,0.7866,0.7862,0.6530,0.6480,0.6472,38.38s,None
