Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5478.6812,524.9200,23.35%,38.64%,0.2297,0.2335,0.2309,0.3845,0.3864,0.3565,93.64s,None
2,4458.0319,480.7201,34.94%,43.79%,0.3419,0.3494,0.3438,0.4427,0.4379,0.4314,90.28s,None
3,4203.5667,459.7203,39.09%,46.01%,0.3838,0.3909,0.3860,0.4754,0.4601,0.4439,90.79s,None
4,3957.5808,472.8874,42.92%,46.28%,0.4221,0.4292,0.4244,0.4756,0.4628,0.4617,90.20s,None
5,3804.7517,438.1566,45.35%,49.55%,0.4476,0.4535,0.4496,0.5031,0.4955,0.4931,91.84s,None
6,3408.1188,378.0671,50.92%,56.25%,0.5042,0.5092,0.5060,0.5679,0.5625,0.5614,89.91s,None
7,3304.7770,361.4000,52.58%,58.13%,0.5226,0.5258,0.5237,0.5846,0.5813,0.5783,89.89s,None
8,3117.3470,337.8387,55.48%,61.58%,0.5555,0.5548,0.5546,0.6233,0.6158,0.6165,90.02s,None
9,3011.8838,329.7134,56.88%,62.49%,0.5717,0.5688,0.5692,0.6429,0.6249,0.6280,89.93s,None
10,3028.0729,337.4753,56.88%,61.91%,0.5699,0.5688,0.5684,0.6160,0.6191,0.6130,89.76s,None
11,2776.8475,351.9762,60.62%,59.79%,0.6072,0.6062,0.6061,0.6075,0.5979,0.5991,89.74s,None
12,2718.8312,317.2558,61.23%,63.72%,0.6142,0.6123,0.6126,0.6527,0.6372,0.6390,90.18s,None
13,2624.9841,302.3083,62.61%,65.82%,0.6267,0.6261,0.6258,0.6616,0.6582,0.6579,89.98s,None
14,2674.9837,311.4429,62.17%,64.51%,0.6211,0.6217,0.6209,0.6473,0.6451,0.6445,89.89s,None
15,2520.7010,307.8855,64.18%,65.17%,0.6414,0.6418,0.6411,0.6598,0.6517,0.6522,90.21s,None
16,2348.5786,286.4213,66.75%,67.34%,0.6671,0.6675,0.6660,0.6729,0.6734,0.6718,90.67s,None
17,2309.8713,288.2802,67.46%,67.65%,0.6749,0.6746,0.6737,0.6784,0.6765,0.6763,90.35s,None
