Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5618.2536,555.6351,22.75%,34.65%,0.2237,0.2275,0.2244,0.3440,0.3465,0.3336,81.53s,Simple
2,4396.5728,509.5908,35.22%,40.43%,0.3462,0.3522,0.3477,0.4148,0.4043,0.3919,97.57s,Simple
3,4266.3378,537.1379,38.06%,37.87%,0.3750,0.3806,0.3761,0.3950,0.3787,0.3585,83.49s,Simple
4,4313.6560,507.2051,37.13%,41.62%,0.3650,0.3713,0.3656,0.4184,0.4162,0.4051,99.33s,Simple
5,4014.9034,481.1895,41.78%,44.61%,0.4117,0.4178,0.4128,0.4477,0.4461,0.4423,99.00s,Simple
6,3911.2537,572.5690,43.37%,32.44%,0.4274,0.4337,0.4291,0.3252,0.3244,0.3108,81.09s,Complex
7,3973.0380,469.0123,42.16%,45.67%,0.4136,0.4215,0.4156,0.4681,0.4567,0.4532,81.31s,Complex
8,3818.6260,498.8088,44.77%,42.28%,0.4418,0.4477,0.4433,0.4220,0.4228,0.4178,79.34s,Complex
9,3743.1791,445.6462,45.35%,48.44%,0.4475,0.4535,0.4492,0.4904,0.4844,0.4837,82.76s,Complex
10,3534.1150,424.7185,48.62%,50.94%,0.4832,0.4862,0.4837,0.5257,0.5094,0.5095,80.63s,Complex
11,3291.6734,403.8422,52.27%,53.30%,0.5204,0.5227,0.5205,0.5327,0.5330,0.5290,80.53s,Complex
12,3158.3894,399.8550,54.25%,53.56%,0.5405,0.5425,0.5406,0.5384,0.5356,0.5334,80.82s,Complex
13,3057.3205,387.6150,55.67%,54.66%,0.5523,0.5567,0.5528,0.5528,0.5466,0.5436,91.68s,Simple
14,2990.0536,393.9859,56.86%,53.95%,0.5648,0.5686,0.5656,0.5453,0.5395,0.5389,82.63s,Simple
15,2962.2440,370.5792,57.30%,56.91%,0.5715,0.5729,0.5712,0.5691,0.5691,0.5647,82.93s,Simple
16,2890.3322,403.8925,58.14%,52.99%,0.5802,0.5814,0.5797,0.5499,0.5299,0.5252,87.04s,Simple
17,2811.0746,357.6892,59.39%,58.70%,0.5914,0.5939,0.5922,0.5878,0.5870,0.5830,82.45s,Simple
