Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,2878.9184,718.4065,9.95%,10.11%,0.0583,0.0995,0.0222,0.0102,0.1011,0.0186,29.98s,None
2,2876.9047,723.4102,10.29%,10.11%,0.0434,0.1028,0.0371,0.0102,0.1011,0.0186,30.25s,None
3,2829.0240,701.6245,11.62%,12.99%,0.0571,0.1162,0.0493,0.0552,0.1299,0.0669,27.43s,None
4,2784.4326,698.0020,13.32%,13.58%,0.0582,0.1333,0.0621,0.0400,0.1358,0.0596,28.90s,None
5,2758.1078,690.4686,14.40%,14.46%,0.0607,0.1440,0.0693,0.0489,0.1446,0.0684,28.11s,None
6,2735.2933,686.7441,15.17%,15.20%,0.0556,0.1517,0.0754,0.0694,0.1520,0.0819,26.65s,None
7,2725.2241,680.7702,15.57%,15.05%,0.0558,0.1557,0.0765,0.0499,0.1505,0.0708,27.58s,None
8,2717.3374,681.4861,15.73%,15.25%,0.0577,0.1573,0.0782,0.0531,0.1525,0.0736,26.86s,None
9,2710.5663,680.0363,15.95%,15.96%,0.0603,0.1595,0.0805,0.0647,0.1596,0.0825,26.64s,None
10,2709.0835,680.3850,16.09%,15.45%,0.0629,0.1609,0.0825,0.0517,0.1545,0.0727,26.84s,None
11,2691.7649,676.7264,16.64%,16.60%,0.1158,0.1664,0.0862,0.0696,0.1660,0.0865,26.19s,None
12,2688.9662,677.8309,16.93%,16.51%,0.0699,0.1693,0.0890,0.0763,0.1651,0.0894,27.08s,None
13,2686.4425,677.0251,16.84%,16.71%,0.0686,0.1683,0.0882,0.0765,0.1671,0.0903,27.04s,None
14,2681.2785,676.3379,17.16%,16.08%,0.0714,0.1716,0.0906,0.0693,0.1608,0.0858,26.60s,None
15,2679.0317,676.5763,17.11%,16.19%,0.0725,0.1711,0.0912,0.0630,0.1619,0.0822,25.58s,None
16,2666.5651,681.1899,17.52%,16.10%,0.0950,0.1752,0.0939,0.0569,0.1610,0.0781,25.61s,None
17,2664.7049,674.4092,17.65%,16.84%,0.0790,0.1765,0.0963,0.0754,0.1684,0.0907,26.21s,None
