Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5669.6250,695.1517,13.89%,16.64%,0.1130,0.1389,0.0829,0.0623,0.1664,0.0844,56.51s,None
2,5553.3544,672.0933,17.04%,20.90%,0.1015,0.1704,0.0981,0.0848,0.2090,0.1101,55.10s,None
3,5433.1800,658.9358,19.29%,22.28%,0.1186,0.1929,0.1226,0.1269,0.2228,0.1397,54.55s,None
4,5356.6914,654.0918,20.98%,23.26%,0.1315,0.2098,0.1416,0.1441,0.2326,0.1587,54.98s,None
5,5317.1442,656.2266,22.14%,22.83%,0.1423,0.2214,0.1540,0.1755,0.2283,0.1573,56.10s,None
6,5206.3045,633.4660,24.31%,27.06%,0.1584,0.2431,0.1751,0.1744,0.2706,0.1936,54.22s,None
7,5167.9966,629.9171,24.91%,27.06%,0.1662,0.2491,0.1843,0.1873,0.2706,0.2018,54.27s,None
8,5120.8289,623.9077,26.04%,28.89%,0.1783,0.2604,0.1976,0.2201,0.2889,0.2318,54.34s,None
9,5073.2252,619.8896,27.04%,29.13%,0.1869,0.2704,0.2093,0.2242,0.2913,0.2346,54.89s,None
10,4889.4155,588.8055,30.16%,34.09%,0.2336,0.3016,0.2533,0.2685,0.3409,0.2845,54.94s,None
11,4674.6318,572.6833,33.48%,35.86%,0.2629,0.3348,0.2849,0.2924,0.3586,0.3033,55.40s,None
12,4605.6025,558.5479,34.97%,37.25%,0.2778,0.3497,0.2993,0.2983,0.3725,0.3193,54.86s,None
13,4548.9536,558.9454,35.56%,36.97%,0.2813,0.3556,0.3047,0.2953,0.3697,0.3188,56.43s,None
14,4498.5602,549.7680,36.58%,38.53%,0.2911,0.3658,0.3149,0.3267,0.3853,0.3334,54.35s,None
15,4455.1613,545.6034,37.51%,38.59%,0.3002,0.3751,0.3236,0.3115,0.3859,0.3328,55.09s,None
16,4308.6391,538.4317,39.34%,40.16%,0.3186,0.3934,0.3416,0.3260,0.4016,0.3478,54.58s,None
17,4277.7552,537.0643,40.12%,40.15%,0.3254,0.4012,0.3491,0.3288,0.4015,0.3477,54.53s,None
