Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5580.9567,623.9829,13.94%,22.44%,0.1376,0.1394,0.1172,0.1638,0.2244,0.1562,42.69s,Simple
2,4742.6461,553.3761,26.39%,31.85%,0.2472,0.2639,0.2492,0.2776,0.3185,0.2727,59.32s,Simple
3,4410.7671,521.5298,32.83%,36.78%,0.3167,0.3283,0.3173,0.3435,0.3678,0.3312,58.67s,Simple
4,4174.2091,509.4023,37.20%,38.31%,0.3660,0.3720,0.3662,0.4093,0.3831,0.3426,53.78s,Simple
5,3970.6226,474.6295,41.29%,43.67%,0.4092,0.4129,0.4096,0.4588,0.4367,0.4305,53.46s,Simple
6,3609.3464,449.1191,47.82%,49.07%,0.4743,0.4782,0.4755,0.4999,0.4907,0.4780,40.36s,Complex
7,3368.0196,417.7937,51.42%,52.45%,0.5107,0.5142,0.5119,0.5284,0.5245,0.5122,38.39s,Complex
8,3233.0933,407.6254,54.22%,53.02%,0.5391,0.5422,0.5403,0.5497,0.5302,0.5318,38.39s,Complex
9,3155.0111,397.9624,55.20%,55.59%,0.5502,0.5520,0.5508,0.5575,0.5559,0.5416,43.03s,Complex
10,3113.8249,387.6567,55.75%,56.17%,0.5553,0.5575,0.5561,0.5804,0.5617,0.5635,39.28s,Complex
11,2717.4814,361.3268,61.37%,59.23%,0.6129,0.6137,0.6131,0.6091,0.5923,0.5981,39.80s,Complex
12,2613.6569,361.3892,62.95%,59.19%,0.6290,0.6295,0.6291,0.6133,0.5919,0.5934,39.77s,Complex
13,2531.4851,362.7073,64.34%,60.16%,0.6432,0.6434,0.6431,0.6056,0.6016,0.5985,58.61s,Simple
14,2499.2041,350.6253,64.69%,61.22%,0.6469,0.6469,0.6467,0.6121,0.6122,0.6099,51.94s,Simple
15,2428.4339,340.9360,65.71%,62.18%,0.6571,0.6571,0.6569,0.6201,0.6218,0.6189,51.83s,Simple
16,2326.4684,333.3406,67.19%,63.88%,0.6717,0.6719,0.6717,0.6430,0.6388,0.6375,49.59s,Simple
17,2222.0995,335.4837,68.50%,63.31%,0.6857,0.6850,0.6851,0.6403,0.6331,0.6354,48.83s,Simple
