Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,CPU Usage,GPU Usage,Epoch Time,Augmentation
1,2031.3091,407.4124,38.79%,53.97%,0.3829,0.3879,0.3846,0.5836,0.5397,0.5269,3.20%,0.00%,354.15s,None
2,1331.8768,271.4802,61.98%,69.36%,0.6174,0.6199,0.6185,0.7023,0.6936,0.6867,11.40%,98.00%,353.89s,None
3,1008.0054,216.7428,71.74%,76.30%,0.7164,0.7174,0.7168,0.7682,0.7630,0.7587,8.60%,99.00%,354.00s,None
4,822.1240,183.9203,76.84%,79.85%,0.7677,0.7684,0.7680,0.8007,0.7985,0.7975,8.30%,99.00%,353.96s,None
5,695.7195,168.2502,80.67%,81.37%,0.8063,0.8067,0.8065,0.8232,0.8137,0.8135,8.10%,99.00%,353.83s,None
6,507.3321,145.9133,85.94%,84.61%,0.8590,0.8594,0.8591,0.8536,0.8461,0.8462,8.20%,99.00%,354.04s,None
7,451.5980,147.6426,87.46%,84.79%,0.8742,0.8746,0.8743,0.8507,0.8479,0.8479,8.30%,99.00%,354.34s,None
8,400.1097,151.5014,88.78%,84.82%,0.8874,0.8878,0.8876,0.8566,0.8482,0.8478,9.50%,99.00%,354.24s,None
9,369.2941,138.9155,89.61%,85.75%,0.8959,0.8961,0.8960,0.8582,0.8575,0.8554,9.20%,99.00%,354.27s,None
10,331.1395,174.0807,90.55%,83.83%,0.9053,0.9055,0.9054,0.8416,0.8383,0.8335,9.10%,99.00%,354.37s,None
11,220.3838,132.0278,93.90%,87.47%,0.9390,0.9390,0.9390,0.8751,0.8747,0.8739,9.30%,98.00%,354.25s,None
12,192.0835,131.9435,94.80%,87.92%,0.9479,0.9480,0.9480,0.8792,0.8792,0.8786,9.00%,99.00%,354.23s,None
13,171.5507,142.9710,95.17%,86.98%,0.9516,0.9516,0.9516,0.8718,0.8698,0.8691,9.00%,98.00%,354.14s,None
14,158.4496,134.8608,95.62%,87.61%,0.9562,0.9563,0.9562,0.8775,0.8761,0.8758,9.00%,99.00%,354.09s,None
15,136.6789,140.1990,96.27%,87.64%,0.9626,0.9627,0.9627,0.8783,0.8764,0.8763,8.90%,98.00%,354.16s,None
16,93.7481,134.0979,97.60%,88.71%,0.9760,0.9760,0.9760,0.8873,0.8871,0.8871,9.00%,98.00%,354.16s,None
17,83.4148,138.2686,97.84%,88.52%,0.9784,0.9784,0.9784,0.8858,0.8852,0.8852,9.10%,99.00%,354.17s,None
