Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,4460.7310,528.8181,33.20%,44.98%,0.3250,0.3320,0.3274,0.5577,0.4498,0.4366,711.17s,None
2,3000.1242,270.7690,57.30%,70.37%,0.5693,0.5730,0.5708,0.7110,0.7037,0.6941,711.98s,None
3,2255.5442,205.7411,68.63%,77.00%,0.6848,0.6863,0.6855,0.7772,0.7700,0.7671,712.38s,None
4,1842.8352,237.8041,74.44%,74.90%,0.7435,0.7443,0.7438,0.7846,0.7490,0.7470,711.69s,None
5,1561.4642,158.3776,78.59%,82.31%,0.7852,0.7859,0.7855,0.8300,0.8231,0.8232,726.41s,None
6,1162.8196,134.1156,84.23%,85.29%,0.8417,0.8423,0.8420,0.8561,0.8529,0.8536,716.96s,None
7,1043.5430,131.3797,85.56%,86.16%,0.8552,0.8556,0.8553,0.8635,0.8616,0.8606,721.61s,None
8,934.4332,127.6771,87.19%,86.48%,0.8715,0.8719,0.8717,0.8647,0.8648,0.8635,712.16s,None
9,844.2312,131.0925,88.38%,86.56%,0.8835,0.8838,0.8836,0.8710,0.8656,0.8663,712.41s,None
10,766.8001,115.6015,89.50%,87.90%,0.8947,0.8950,0.8948,0.8787,0.8790,0.8784,717.66s,None
11,536.1907,108.4450,92.81%,89.03%,0.9280,0.9282,0.9281,0.8901,0.8903,0.8901,712.53s,None
12,477.0646,110.5389,93.48%,89.33%,0.9347,0.9348,0.9348,0.8936,0.8933,0.8932,722.63s,None
13,425.2653,113.2812,94.22%,89.29%,0.9422,0.9422,0.9422,0.8925,0.8929,0.8925,716.02s,None
14,384.7610,116.4043,94.83%,89.23%,0.9483,0.9483,0.9483,0.8929,0.8923,0.8922,720.50s,None
15,351.2067,115.5609,95.31%,89.19%,0.9531,0.9531,0.9531,0.8935,0.8919,0.8920,716.09s,None
16,255.0120,117.7045,96.75%,89.65%,0.9675,0.9675,0.9675,0.8972,0.8965,0.8959,716.36s,None
17,237.6991,117.5771,97.06%,89.68%,0.9706,0.9707,0.9706,0.8968,0.8968,0.8963,726.39s,None
