Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,4233.4878,442.7279,36.81%,52.26%,0.3615,0.3681,0.3639,0.5898,0.5226,0.5208,696.39s,Simple
2,2774.5785,270.7149,60.56%,69.30%,0.6026,0.6056,0.6039,0.6985,0.6930,0.6875,714.96s,Simple
3,2093.7381,197.8185,70.92%,77.87%,0.7076,0.7092,0.7083,0.7848,0.7787,0.7790,700.35s,Simple
4,1670.3449,212.5410,76.91%,77.15%,0.7682,0.7691,0.7686,0.7894,0.7715,0.7695,720.22s,Simple
5,1397.4299,151.3682,80.63%,83.67%,0.8056,0.8063,0.8059,0.8423,0.8367,0.8363,720.88s,Simple
6,1146.2737,130.9702,84.28%,85.68%,0.8423,0.8428,0.8425,0.8598,0.8568,0.8568,701.15s,Complex
7,1000.8417,124.8938,85.99%,86.80%,0.8595,0.8599,0.8597,0.8684,0.8680,0.8672,701.29s,Complex
8,769.7493,124.7529,89.34%,87.21%,0.8930,0.8934,0.8932,0.8730,0.8721,0.8711,700.29s,Complex
9,774.9462,127.8990,89.30%,86.75%,0.8927,0.8930,0.8928,0.8736,0.8675,0.8681,703.22s,Complex
10,830.1270,117.2159,88.52%,87.62%,0.8848,0.8852,0.8850,0.8763,0.8762,0.8752,701.67s,Complex
11,588.1301,105.2507,91.94%,89.28%,0.9192,0.9194,0.9193,0.8929,0.8928,0.8923,701.53s,Complex
12,338.4531,112.7822,95.48%,89.25%,0.9547,0.9548,0.9547,0.8948,0.8925,0.8926,701.73s,Complex
13,374.7878,112.0300,94.83%,89.39%,0.9482,0.9483,0.9483,0.8938,0.8939,0.8934,712.51s,Simple
14,270.2880,117.2067,96.41%,89.30%,0.9640,0.9641,0.9641,0.8940,0.8930,0.8930,704.53s,Simple
15,214.8876,122.2545,97.15%,89.21%,0.9715,0.9715,0.9715,0.8940,0.8921,0.8921,704.57s,Simple
16,293.3256,112.4938,95.98%,89.74%,0.9598,0.9598,0.9598,0.8974,0.8974,0.8971,710.16s,Simple
17,126.0302,112.3988,98.49%,90.22%,0.9849,0.9849,0.9849,0.9031,0.9022,0.9017,704.12s,Simple
