Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,4707.7620,1142.6342,26.28%,39.18%,0.1486,0.2628,0.1628,0.2057,0.3918,0.2446,10.69s,None
2,4531.0772,1113.0164,43.92%,51.41%,0.2719,0.4392,0.3111,0.3256,0.5141,0.3850,8.14s,None
3,4412.4062,1095.4453,56.25%,58.52%,0.3675,0.5625,0.4319,0.3868,0.5852,0.4550,7.91s,None
4,4356.5948,1077.3160,62.13%,66.26%,0.4418,0.6213,0.5082,0.4888,0.6626,0.5523,7.89s,None
5,4313.9188,1075.4524,66.32%,66.75%,0.4845,0.6632,0.5508,0.4913,0.6675,0.5566,7.87s,None
6,4306.8548,1072.9262,66.73%,67.81%,0.4953,0.6673,0.5542,0.5317,0.6781,0.5712,7.88s,None
7,4279.0257,1064.6723,69.99%,71.22%,0.5334,0.6999,0.5958,0.5502,0.7122,0.6115,7.89s,None
8,4267.5309,1064.3666,70.89%,71.33%,0.5389,0.7089,0.6042,0.5510,0.7133,0.6124,7.86s,None
9,4264.5544,1062.4581,71.17%,72.20%,0.5471,0.7117,0.6084,0.5656,0.7220,0.6247,7.88s,None
10,4257.1296,1061.9943,71.87%,72.25%,0.5588,0.7187,0.6163,0.5698,0.7225,0.6255,7.90s,None
11,4253.1530,1060.4757,72.33%,72.93%,0.5579,0.7233,0.6224,0.5767,0.7293,0.6339,7.84s,None
12,4247.0912,1057.8796,72.92%,74.08%,0.5768,0.7292,0.6315,0.5919,0.7408,0.6485,7.95s,None
13,4237.9629,1057.4403,73.83%,74.35%,0.5967,0.7383,0.6418,0.6131,0.7435,0.6540,7.83s,None
14,4229.5592,1053.1249,75.05%,76.12%,0.6000,0.7505,0.6595,0.6210,0.7612,0.6754,8.00s,None
15,4221.5004,1052.6080,75.60%,76.28%,0.6035,0.7560,0.6642,0.6236,0.7628,0.6761,8.01s,None
16,4219.8473,1051.9702,75.79%,76.76%,0.6234,0.7579,0.6673,0.6416,0.7676,0.6834,7.90s,None
17,4216.1534,1050.9798,76.28%,77.26%,0.6248,0.7628,0.6737,0.6429,0.7726,0.6911,7.93s,None
