Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,9368.5167,1128.6264,28.45%,44.87%,0.1717,0.2845,0.1828,0.2429,0.4487,0.3037,32.40s,None
2,9042.7622,1119.1614,44.82%,48.66%,0.2551,0.4482,0.3058,0.2825,0.4866,0.3456,31.23s,None
3,8910.2774,1096.0159,51.70%,58.23%,0.3334,0.5170,0.3889,0.3897,0.5823,0.4552,31.16s,None
4,8765.4454,1090.9880,59.14%,60.18%,0.3898,0.5914,0.4623,0.4084,0.6018,0.4760,31.23s,None
5,8725.6435,1085.7461,61.12%,62.35%,0.4113,0.6112,0.4846,0.4378,0.6235,0.5035,31.14s,None
6,8709.8007,1085.4976,61.74%,62.40%,0.4173,0.6174,0.4904,0.4323,0.6240,0.5009,31.22s,None
7,8690.3536,1082.7089,62.80%,63.60%,0.4317,0.6280,0.5047,0.4486,0.6360,0.5165,31.29s,None
8,8680.9848,1082.5470,63.22%,63.65%,0.4351,0.6322,0.5082,0.4534,0.6365,0.5184,31.26s,None
9,8656.5120,1076.4185,64.63%,66.19%,0.4594,0.6463,0.5292,0.5104,0.6619,0.5517,31.34s,None
10,8605.2737,1070.5336,67.42%,69.07%,0.5006,0.6742,0.5624,0.5278,0.6907,0.5880,31.17s,None
11,8578.1818,1069.0257,68.71%,69.29%,0.5083,0.6871,0.5773,0.5280,0.6929,0.5896,31.06s,None
12,8575.0690,1068.8278,68.74%,69.32%,0.5065,0.6874,0.5765,0.5248,0.6932,0.5885,31.41s,None
13,8558.0380,1063.4013,69.76%,71.63%,0.5295,0.6976,0.5929,0.5578,0.7163,0.6183,30.99s,None
14,8533.7037,1061.7578,71.07%,72.38%,0.5506,0.7107,0.6080,0.5738,0.7238,0.6314,31.57s,None
15,8507.8085,1059.3015,72.50%,73.37%,0.5657,0.7250,0.6288,0.5879,0.7337,0.6432,31.14s,None
16,8499.7718,1059.0269,72.82%,73.42%,0.5716,0.7282,0.6330,0.5865,0.7342,0.6428,34.81s,None
17,8497.5323,1058.9465,72.85%,73.46%,0.5759,0.7285,0.6330,0.5936,0.7346,0.6444,32.64s,None
