Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,9356.9635,1143.2073,29.08%,38.58%,0.1553,0.2908,0.1823,0.1920,0.3858,0.2455,23.16s,Simple
2,9055.3581,1111.7724,44.18%,51.94%,0.2728,0.4418,0.3174,0.3246,0.5194,0.3861,43.84s,Simple
3,8883.6626,1103.2112,52.93%,55.20%,0.3323,0.5293,0.3964,0.3561,0.5520,0.4199,43.78s,Simple
4,8772.1271,1081.8908,58.81%,64.32%,0.4286,0.5881,0.4649,0.4806,0.6432,0.5282,43.87s,Simple
5,8641.2851,1074.6211,65.66%,67.15%,0.4770,0.6566,0.5439,0.4951,0.6715,0.5601,53.07s,Simple
6,8617.8417,1074.1478,66.84%,67.21%,0.4887,0.6684,0.5559,0.5034,0.6721,0.5641,22.88s,Complex
7,8591.5503,1070.4028,67.89%,68.78%,0.5065,0.6789,0.5704,0.5232,0.6878,0.5835,21.53s,Complex
8,8567.3651,1067.2831,69.10%,70.14%,0.5295,0.6910,0.5825,0.5497,0.7014,0.6031,26.22s,Complex
9,8518.5855,1056.3636,72.16%,74.75%,0.5716,0.7216,0.6270,0.6086,0.7475,0.6597,22.43s,Complex
10,8468.5031,1054.8707,74.59%,75.21%,0.5932,0.7459,0.6534,0.6166,0.7521,0.6636,22.61s,Complex
11,8448.6798,1052.6125,75.41%,76.10%,0.6056,0.7541,0.6636,0.6192,0.7610,0.6741,22.21s,Complex
12,8436.3103,1051.4065,75.95%,77.14%,0.6200,0.7595,0.6698,0.6407,0.7714,0.6908,42.68s,Complex
13,8417.3709,1049.4075,77.05%,77.79%,0.6352,0.7705,0.6840,0.6507,0.7779,0.6988,33.48s,Simple
14,8397.7458,1047.4534,78.01%,78.27%,0.6387,0.7801,0.6958,0.6497,0.7827,0.7022,33.28s,Simple
15,8392.8974,1047.1199,78.14%,78.53%,0.6445,0.7814,0.6964,0.6608,0.7853,0.7070,33.91s,Simple
16,8388.3351,1045.5094,78.48%,79.13%,0.6464,0.7848,0.7017,0.6647,0.7913,0.7139,23.94s,Simple
17,8386.1223,1045.1887,78.68%,79.29%,0.6482,0.7868,0.7035,0.6676,0.7929,0.7163,32.80s,Simple
