Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,1897.4695,185.5236,50.20%,79.11%,0.4730,0.5020,0.4750,0.7875,0.7911,0.7705,30.32s,None
2,632.6660,105.7005,82.44%,87.95%,0.8094,0.8244,0.8137,0.8857,0.8795,0.8729,30.48s,None
3,358.1636,62.3742,89.87%,93.34%,0.8898,0.8987,0.8924,0.9336,0.9334,0.9295,30.44s,None
4,232.0944,49.5767,93.47%,94.47%,0.9302,0.9347,0.9316,0.9427,0.9447,0.9411,30.61s,None
5,170.8171,44.9829,95.14%,94.89%,0.9492,0.9514,0.9495,0.9502,0.9489,0.9472,30.63s,None
6,75.9173,28.2110,97.87%,97.13%,0.9776,0.9787,0.9778,0.9712,0.9713,0.9700,30.61s,None
7,43.0574,25.9588,98.89%,97.44%,0.9882,0.9889,0.9884,0.9751,0.9744,0.9737,30.52s,None
8,26.4433,23.8579,99.41%,97.71%,0.9935,0.9941,0.9937,0.9771,0.9771,0.9766,30.63s,None
9,20.7100,26.4902,99.52%,97.53%,0.9947,0.9952,0.9949,0.9765,0.9753,0.9751,30.74s,None
10,17.9931,25.7566,99.60%,97.71%,0.9957,0.9960,0.9958,0.9780,0.9771,0.9765,30.71s,None
11,9.8729,22.9735,99.84%,97.97%,0.9981,0.9984,0.9982,0.9801,0.9797,0.9793,30.29s,None
12,8.6332,22.0530,99.85%,98.05%,0.9983,0.9985,0.9984,0.9810,0.9805,0.9802,33.36s,None
13,6.4737,22.2969,99.91%,98.10%,0.9990,0.9991,0.9990,0.9812,0.9810,0.9806,33.13s,None
14,5.8194,22.4677,99.93%,98.05%,0.9992,0.9993,0.9992,0.9808,0.9805,0.9801,30.05s,None
15,5.4604,22.6819,99.93%,98.05%,0.9991,0.9993,0.9992,0.9805,0.9805,0.9800,30.17s,None
16,4.5548,21.4188,99.95%,98.19%,0.9994,0.9995,0.9995,0.9820,0.9819,0.9815,30.19s,None
17,4.4064,21.8958,99.96%,98.11%,0.9994,0.9996,0.9995,0.9811,0.9811,0.9806,30.04s,None
