Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,3593.3753,147.3952,55.03%,83.16%,0.5236,0.5503,0.5275,0.8370,0.8316,0.8185,74.88s,None
2,1232.2952,67.2707,83.87%,92.83%,0.8249,0.8387,0.8301,0.9208,0.9283,0.9212,73.59s,None
3,787.6427,56.1445,89.66%,94.14%,0.8913,0.8966,0.8922,0.9380,0.9414,0.9372,73.41s,None
4,589.8086,43.2169,92.01%,95.29%,0.9162,0.9201,0.9172,0.9545,0.9529,0.9506,73.76s,None
5,458.7104,35.7648,93.83%,96.07%,0.9364,0.9383,0.9366,0.9591,0.9607,0.9582,73.37s,None
6,253.3995,23.4857,96.60%,97.49%,0.9649,0.9660,0.9651,0.9749,0.9749,0.9738,73.45s,None
7,185.7166,22.2591,97.52%,97.79%,0.9743,0.9752,0.9746,0.9776,0.9779,0.9770,77.30s,None
8,161.6714,22.9760,97.99%,97.83%,0.9795,0.9799,0.9795,0.9789,0.9783,0.9776,76.04s,None
9,141.9989,20.5111,98.13%,97.93%,0.9808,0.9813,0.9809,0.9792,0.9793,0.9787,76.02s,None
10,130.9045,20.6875,98.33%,97.99%,0.9830,0.9833,0.9830,0.9795,0.9799,0.9790,78.64s,None
11,101.1747,18.9706,98.75%,98.18%,0.9873,0.9875,0.9874,0.9813,0.9818,0.9810,75.97s,None
12,88.0935,19.0535,98.93%,98.15%,0.9892,0.9893,0.9892,0.9812,0.9815,0.9809,76.60s,None
13,75.1339,18.6791,99.10%,98.14%,0.9908,0.9910,0.9909,0.9814,0.9814,0.9809,76.87s,None
14,77.1721,19.0097,99.04%,98.21%,0.9903,0.9904,0.9903,0.9819,0.9821,0.9816,76.87s,None
15,77.9652,18.3693,99.04%,98.40%,0.9903,0.9904,0.9903,0.9837,0.9840,0.9835,77.08s,None
16,64.6031,18.4582,99.22%,98.40%,0.9921,0.9922,0.9921,0.9838,0.9840,0.9836,77.32s,None
17,60.8391,17.8503,99.24%,98.45%,0.9924,0.9924,0.9924,0.9843,0.9845,0.9840,78.69s,None
