Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,3619.3360,154.1906,53.72%,82.50%,0.5055,0.5372,0.5131,0.8166,0.8250,0.8046,71.40s,Simple
2,1199.2675,108.7727,83.99%,87.86%,0.8256,0.8399,0.8302,0.8852,0.8786,0.8712,86.48s,Simple
3,718.4072,60.6215,90.07%,93.00%,0.8933,0.9007,0.8955,0.9364,0.9300,0.9270,85.61s,Simple
4,470.0192,47.4428,93.39%,95.18%,0.9296,0.9339,0.9310,0.9502,0.9518,0.9483,79.88s,Simple
5,343.1221,35.4027,95.14%,96.33%,0.9489,0.9514,0.9497,0.9620,0.9633,0.9611,80.07s,Simple
6,481.7196,27.7436,93.18%,97.16%,0.9301,0.9318,0.9303,0.9697,0.9716,0.9696,69.74s,Complex
7,89.2777,22.9169,98.81%,97.74%,0.9873,0.9881,0.9875,0.9770,0.9774,0.9764,68.40s,Complex
8,58.7212,24.1192,99.24%,97.78%,0.9918,0.9924,0.9920,0.9784,0.9778,0.9775,68.47s,Complex
9,129.1376,22.1502,98.20%,97.93%,0.9815,0.9820,0.9816,0.9797,0.9793,0.9790,69.15s,Complex
10,83.2921,20.7949,98.84%,98.00%,0.9881,0.9884,0.9881,0.9801,0.9800,0.9796,70.49s,Complex
11,24.7951,18.5912,99.74%,98.32%,0.9972,0.9974,0.9972,0.9832,0.9832,0.9828,69.83s,Complex
12,16.7022,18.2320,99.85%,98.42%,0.9983,0.9985,0.9984,0.9842,0.9842,0.9838,70.03s,Complex
13,22.2284,19.8077,99.77%,98.31%,0.9975,0.9977,0.9976,0.9829,0.9831,0.9826,78.65s,Simple
14,14.6197,18.4906,99.90%,98.46%,0.9989,0.9990,0.9989,0.9844,0.9846,0.9841,79.48s,Simple
15,14.7010,19.2784,99.89%,98.42%,0.9988,0.9989,0.9989,0.9842,0.9842,0.9838,78.62s,Simple
16,11.1356,18.1193,99.92%,98.49%,0.9991,0.9992,0.9991,0.9844,0.9849,0.9844,72.01s,Simple
17,52.9981,18.7789,99.26%,98.31%,0.9926,0.9926,0.9926,0.9827,0.9831,0.9826,73.71s,Simple
