Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,3004.8144,547.1340,24.10%,39.54%,0.1903,0.2410,0.1952,0.3068,0.3954,0.3211,24.00s,None
2,1825.0659,386.5959,48.46%,57.68%,0.4325,0.4846,0.4452,0.5381,0.5768,0.5236,22.33s,None
3,1153.3659,201.6456,67.57%,77.07%,0.6408,0.6757,0.6533,0.7743,0.7707,0.7527,23.41s,None
4,851.6229,191.0610,76.05%,78.65%,0.7376,0.7605,0.7461,0.7796,0.7865,0.7657,24.28s,None
5,685.3478,154.2951,81.28%,82.53%,0.7959,0.8128,0.8025,0.8335,0.8253,0.8154,23.13s,None
6,369.3793,85.1336,89.56%,90.79%,0.8868,0.8956,0.8897,0.9056,0.9079,0.9021,23.51s,None
7,297.0260,85.6243,91.73%,90.73%,0.9116,0.9173,0.9133,0.9079,0.9073,0.9033,23.61s,None
8,263.8032,76.3895,92.43%,92.17%,0.9200,0.9243,0.9215,0.9180,0.9217,0.9171,24.55s,None
9,228.8404,71.0338,93.38%,92.34%,0.9308,0.9338,0.9314,0.9270,0.9234,0.9214,22.75s,None
10,203.4420,67.6936,94.19%,92.74%,0.9389,0.9419,0.9401,0.9263,0.9274,0.9240,23.56s,None
11,121.8624,52.5201,96.56%,94.93%,0.9630,0.9656,0.9640,0.9493,0.9493,0.9475,23.01s,None
12,93.3221,52.2720,97.28%,95.34%,0.9705,0.9728,0.9714,0.9519,0.9534,0.9514,22.43s,None
13,78.4621,50.5967,97.79%,95.42%,0.9765,0.9779,0.9770,0.9536,0.9542,0.9529,24.02s,None
14,75.1044,49.6010,97.79%,95.42%,0.9767,0.9779,0.9770,0.9548,0.9542,0.9533,23.53s,None
15,60.1571,55.8554,98.22%,95.52%,0.9811,0.9822,0.9815,0.9552,0.9552,0.9540,24.86s,None
16,36.8261,53.6151,98.92%,95.89%,0.9882,0.9892,0.9886,0.9585,0.9589,0.9576,24.57s,None
17,27.7930,53.5657,99.21%,96.06%,0.9913,0.9921,0.9916,0.9607,0.9606,0.9597,22.38s,None
