Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5906.2430,526.1313,23.22%,37.46%,0.1752,0.2322,0.1827,0.3085,0.3746,0.3022,45.96s,None
2,3333.6022,266.6409,53.67%,69.42%,0.4991,0.5367,0.5028,0.6906,0.6942,0.6624,43.45s,None
3,2000.7858,190.6567,73.35%,79.53%,0.7094,0.7335,0.7166,0.8034,0.7953,0.7806,44.01s,None
4,1488.3540,130.3249,80.22%,86.31%,0.7873,0.8022,0.7919,0.8609,0.8631,0.8545,43.24s,None
5,1241.3711,126.6146,83.47%,86.54%,0.8247,0.8347,0.8278,0.8763,0.8654,0.8615,43.56s,None
6,751.6723,79.0081,89.90%,91.68%,0.8936,0.8990,0.8948,0.9172,0.9168,0.9139,43.38s,None
7,628.8130,67.7594,91.50%,93.08%,0.9107,0.9150,0.9119,0.9332,0.9308,0.9276,46.08s,None
8,578.7601,59.5877,92.03%,93.78%,0.9174,0.9203,0.9179,0.9352,0.9378,0.9347,43.88s,None
9,510.7348,61.3715,92.94%,93.38%,0.9273,0.9294,0.9276,0.9341,0.9338,0.9311,43.76s,None
10,484.4889,52.6246,93.31%,94.45%,0.9320,0.9331,0.9318,0.9427,0.9445,0.9412,42.99s,None
11,338.2123,43.9893,95.28%,95.61%,0.9520,0.9528,0.9518,0.9552,0.9561,0.9540,43.06s,None
12,294.4628,43.7273,95.98%,95.61%,0.9592,0.9598,0.9591,0.9551,0.9561,0.9543,42.97s,None
13,291.5968,42.7205,96.07%,95.95%,0.9600,0.9607,0.9601,0.9587,0.9595,0.9579,43.41s,None
14,260.1987,40.8611,96.40%,95.98%,0.9635,0.9640,0.9636,0.9591,0.9598,0.9585,43.58s,None
15,250.6499,43.1816,96.66%,96.16%,0.9662,0.9666,0.9662,0.9621,0.9616,0.9605,43.46s,None
16,200.7026,40.2987,97.40%,96.28%,0.9737,0.9740,0.9737,0.9624,0.9628,0.9616,43.18s,None
17,183.7883,39.5831,97.56%,96.58%,0.9752,0.9756,0.9753,0.9659,0.9658,0.9648,42.97s,None
