Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,6104.5035,570.6917,22.10%,34.43%,0.1682,0.2210,0.1727,0.2422,0.3443,0.2529,34.69s,Simple
2,3719.9385,298.2918,45.65%,66.75%,0.4185,0.4565,0.4195,0.6489,0.6675,0.6307,52.55s,Simple
3,2317.0454,291.9513,67.80%,69.21%,0.6467,0.6780,0.6547,0.7093,0.6921,0.6794,52.25s,Simple
4,1748.3093,162.5405,75.80%,82.75%,0.7375,0.7580,0.7433,0.8187,0.8275,0.8155,52.31s,Simple
5,1391.4980,142.8054,80.88%,85.01%,0.7942,0.8088,0.7987,0.8469,0.8501,0.8418,59.77s,Simple
6,1199.8343,90.3586,83.28%,90.33%,0.8224,0.8328,0.8251,0.8966,0.9033,0.8960,34.80s,Complex
7,614.0295,92.7378,91.23%,90.08%,0.9057,0.9123,0.9078,0.9018,0.9008,0.8958,33.93s,Complex
8,509.2407,81.2344,92.65%,91.53%,0.9224,0.9265,0.9234,0.9150,0.9153,0.9108,36.19s,Complex
9,620.0973,62.2563,91.09%,93.21%,0.9071,0.9109,0.9078,0.9306,0.9321,0.9282,34.44s,Complex
10,549.4333,67.2210,92.02%,92.69%,0.9167,0.9202,0.9177,0.9267,0.9269,0.9237,34.30s,Complex
11,251.8773,49.5767,96.27%,95.00%,0.9600,0.9627,0.9609,0.9496,0.9500,0.9483,34.14s,Complex
12,179.4783,47.2280,97.35%,95.60%,0.9719,0.9735,0.9723,0.9555,0.9560,0.9543,51.12s,Complex
13,170.2495,49.1081,97.42%,95.79%,0.9727,0.9742,0.9731,0.9586,0.9579,0.9570,42.57s,Simple
14,137.0066,46.7978,97.88%,96.00%,0.9776,0.9788,0.9779,0.9600,0.9600,0.9590,42.50s,Simple
15,116.1828,51.6213,98.27%,96.01%,0.9816,0.9827,0.9820,0.9620,0.9601,0.9596,43.36s,Simple
16,70.9405,46.2803,98.96%,96.42%,0.9889,0.9896,0.9891,0.9640,0.9642,0.9629,36.21s,Simple
17,153.0939,42.7513,97.79%,96.13%,0.9771,0.9779,0.9774,0.9613,0.9613,0.9603,40.61s,Simple
