Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,15102.1733,3625.5039,40.96%,58.09%,0.2987,0.4096,0.3167,0.4356,0.5809,0.4742,30.58s,None
2,14254.2989,3504.3816,66.86%,73.27%,0.5489,0.6686,0.5814,0.6235,0.7327,0.6553,26.14s,None
3,13908.0995,3443.0123,77.44%,81.18%,0.6867,0.7744,0.7081,0.7188,0.8118,0.7517,26.04s,None
4,13680.6426,3393.2353,84.61%,87.16%,0.7816,0.8461,0.7991,0.8051,0.8716,0.8277,26.12s,None
5,13525.7683,3370.5045,89.22%,89.87%,0.8279,0.8922,0.8541,0.8357,0.8987,0.8609,26.08s,None
6,13464.4729,3358.2416,90.97%,91.61%,0.8605,0.9097,0.8760,0.8664,0.9161,0.8856,26.10s,None
7,13421.7294,3349.4163,92.27%,92.48%,0.8726,0.9227,0.8927,0.8760,0.9248,0.8959,26.09s,None
8,13401.6945,3345.9252,92.80%,92.92%,0.8804,0.9280,0.9001,0.8833,0.9292,0.9020,26.06s,None
9,13382.5469,3340.8699,93.40%,93.55%,0.8924,0.9340,0.9084,0.8954,0.9355,0.9106,26.38s,None
10,13359.5631,3334.8490,94.14%,94.34%,0.9092,0.9414,0.9188,0.9114,0.9434,0.9219,26.23s,None
11,13335.5200,3330.0444,94.91%,94.95%,0.9143,0.9491,0.9292,0.9203,0.9495,0.9298,26.41s,None
12,13322.7498,3326.2444,95.27%,95.40%,0.9224,0.9527,0.9345,0.9243,0.9540,0.9365,26.36s,None
13,13310.9428,3325.8043,95.60%,95.42%,0.9253,0.9560,0.9384,0.9242,0.9542,0.9366,26.25s,None
14,13309.2135,3325.5478,95.61%,95.44%,0.9292,0.9561,0.9384,0.9353,0.9544,0.9366,26.43s,None
15,13302.9585,3322.2107,95.86%,95.94%,0.9422,0.9586,0.9421,0.9442,0.9594,0.9436,26.13s,None
16,13292.7756,3317.8625,96.25%,96.50%,0.9452,0.9625,0.9478,0.9482,0.9650,0.9515,26.37s,None
17,13281.1244,3317.3411,96.57%,96.59%,0.9554,0.9657,0.9516,0.9568,0.9659,0.9530,26.26s,None
