Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,30188.4339,3633.8060,40.74%,57.29%,0.2852,0.4074,0.3058,0.4220,0.5729,0.4647,107.90s,None
2,28564.7758,3505.0502,65.96%,72.93%,0.5343,0.6596,0.5720,0.6072,0.7293,0.6479,103.49s,None
3,27798.3719,3432.1399,77.85%,82.40%,0.6976,0.7785,0.7125,0.7340,0.8240,0.7653,103.53s,None
4,27334.3908,3392.8365,85.07%,87.02%,0.7711,0.8507,0.8019,0.7942,0.8702,0.8238,103.82s,None
5,27182.0084,3388.8310,87.14%,87.45%,0.7912,0.8714,0.8238,0.7962,0.8745,0.8274,103.47s,None
6,27093.6067,3376.9952,88.45%,88.94%,0.8197,0.8845,0.8420,0.8268,0.8894,0.8479,104.03s,None
7,27014.7342,3370.5893,89.67%,89.74%,0.8283,0.8967,0.8571,0.8305,0.8974,0.8578,103.85s,None
8,26973.5393,3361.5575,90.27%,90.90%,0.8424,0.9027,0.8657,0.8507,0.9090,0.8744,103.45s,None
9,26915.7855,3356.7310,91.22%,91.48%,0.8550,0.9122,0.8789,0.8586,0.9148,0.8818,109.93s,None
10,26863.3140,3348.1277,92.06%,92.60%,0.8707,0.9206,0.8913,0.8793,0.9260,0.8982,103.38s,None
11,26824.6269,3347.6123,92.56%,92.63%,0.8755,0.9256,0.8968,0.8777,0.9263,0.8977,103.53s,None
12,26814.2731,3343.1417,92.72%,93.21%,0.8811,0.9272,0.8994,0.8878,0.9321,0.9059,103.33s,None
13,26788.5285,3342.8752,93.13%,93.38%,0.8860,0.9313,0.9046,0.8909,0.9337,0.9085,103.50s,None
14,26778.7415,3341.4502,93.28%,93.41%,0.8873,0.9328,0.9066,0.8911,0.9341,0.9087,103.57s,None
15,26773.5861,3341.3714,93.30%,93.41%,0.8868,0.9330,0.9066,0.8899,0.9341,0.9083,103.61s,None
16,26770.6009,3341.1434,93.32%,93.45%,0.8915,0.9332,0.9068,0.8955,0.9345,0.9096,103.19s,None
17,26764.3176,3338.1007,93.48%,93.88%,0.8961,0.9348,0.9099,0.9009,0.9388,0.9155,103.14s,None
