Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,29833.7833,3579.9181,46.24%,64.20%,0.3468,0.4624,0.3674,0.5170,0.6420,0.5496,56.24s,Simple
2,28015.3307,3442.0504,74.51%,81.09%,0.6529,0.7451,0.6772,0.7179,0.8109,0.7480,86.38s,Simple
3,27368.0738,3405.6357,84.29%,85.60%,0.7611,0.8429,0.7899,0.7797,0.8560,0.8077,86.29s,Simple
4,27136.6090,3374.2374,87.78%,89.38%,0.8170,0.8778,0.8367,0.8354,0.8938,0.8569,70.90s,Simple
5,26929.2340,3361.4114,90.96%,90.90%,0.8536,0.9096,0.8763,0.8538,0.9090,0.8756,86.20s,Simple
6,26928.6631,3361.1187,91.17%,90.92%,0.8540,0.9117,0.8779,0.8534,0.9092,0.8755,51.55s,Complex
7,26804.7516,3344.0737,92.75%,93.07%,0.8853,0.9275,0.9020,0.8888,0.9307,0.9054,70.75s,Complex
8,26750.6391,3341.1633,93.55%,93.43%,0.8941,0.9355,0.9111,0.8958,0.9343,0.9099,87.10s,Complex
9,26709.5905,3336.2018,94.23%,94.05%,0.9037,0.9423,0.9200,0.9022,0.9405,0.9179,87.23s,Complex
10,26697.4122,3335.6670,94.42%,94.25%,0.9105,0.9442,0.9218,0.9096,0.9425,0.9215,74.09s,Complex
11,26661.3883,3331.0638,94.92%,94.68%,0.9138,0.9492,0.9289,0.9197,0.9468,0.9265,75.76s,Complex
12,26622.7216,3320.0361,95.68%,96.17%,0.9309,0.9568,0.9415,0.9377,0.9617,0.9475,141.48s,Complex
13,26586.0172,3318.9073,96.31%,96.25%,0.9432,0.9631,0.9482,0.9441,0.9625,0.9481,111.63s,Simple
14,26548.2016,3310.3384,96.88%,97.59%,0.9542,0.9688,0.9568,0.9596,0.9759,0.9667,59.17s,Simple
15,26497.6058,3307.0726,97.73%,97.76%,0.9597,0.9773,0.9677,0.9611,0.9776,0.9684,76.98s,Simple
16,26499.2672,3307.2991,97.75%,97.77%,0.9597,0.9775,0.9678,0.9613,0.9777,0.9686,72.05s,Simple
17,26481.5760,3306.7176,97.77%,97.78%,0.9598,0.9777,0.9680,0.9610,0.9778,0.9685,72.11s,Simple
