Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,2941.6689,125.0830,77.23%,95.37%,0.7696,0.7723,0.7692,0.9588,0.9537,0.9538,100.18s,None
2,433.0678,63.7336,96.18%,97.93%,0.9616,0.9618,0.9616,0.9804,0.9793,0.9788,100.15s,None
3,214.9770,41.6839,98.12%,98.50%,0.9812,0.9812,0.9812,0.9859,0.9850,0.9851,100.66s,None
4,138.4269,22.9339,98.83%,99.20%,0.9883,0.9883,0.9883,0.9922,0.9920,0.9920,100.36s,None
5,105.2703,27.5913,99.07%,99.06%,0.9907,0.9907,0.9907,0.9910,0.9906,0.9906,100.46s,None
6,31.8236,12.1894,99.76%,99.61%,0.9976,0.9976,0.9976,0.9961,0.9961,0.9961,100.87s,None
7,13.1997,11.3380,99.92%,99.64%,0.9992,0.9992,0.9992,0.9965,0.9964,0.9965,100.42s,None
8,8.7086,10.6273,99.96%,99.67%,0.9996,0.9996,0.9996,0.9967,0.9967,0.9967,101.00s,None
9,6.8955,9.9937,99.98%,99.71%,0.9998,0.9998,0.9998,0.9972,0.9971,0.9972,99.86s,None
10,6.3317,10.1940,99.98%,99.69%,0.9998,0.9998,0.9998,0.9969,0.9969,0.9969,99.96s,None
11,5.3181,9.9805,99.99%,99.71%,0.9999,0.9999,0.9999,0.9971,0.9971,0.9971,100.21s,None
12,4.9185,9.7002,99.99%,99.72%,0.9999,0.9999,0.9999,0.9972,0.9972,0.9972,100.75s,None
13,4.5668,9.5103,99.99%,99.70%,0.9999,0.9999,0.9999,0.9971,0.9970,0.9970,100.90s,None
14,4.3048,9.4292,100.00%,99.72%,1.0000,1.0000,1.0000,0.9972,0.9972,0.9972,100.71s,None
15,4.3998,9.5022,99.99%,99.73%,0.9999,0.9999,0.9999,0.9973,0.9973,0.9973,100.61s,None
16,4.3514,9.2693,100.00%,99.73%,1.0000,1.0000,1.0000,0.9973,0.9973,0.9973,99.88s,None
17,4.2193,9.3291,100.00%,99.72%,1.0000,1.0000,1.0000,0.9972,0.9972,0.9972,100.70s,None
