Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,6716.0795,130.5755,74.78%,95.08%,0.7460,0.7478,0.7457,0.9619,0.9508,0.9518,257.49s,None
2,1404.4289,45.4212,94.31%,98.55%,0.9431,0.9431,0.9431,0.9857,0.9855,0.9853,253.97s,None
3,888.1497,34.1025,96.42%,98.86%,0.9643,0.9642,0.9642,0.9890,0.9886,0.9886,246.24s,None
4,659.8299,29.7344,97.40%,99.02%,0.9741,0.9740,0.9741,0.9906,0.9902,0.9901,242.77s,None
5,525.1076,24.6518,97.93%,99.21%,0.9794,0.9793,0.9794,0.9922,0.9921,0.9920,243.61s,None
6,270.6103,11.4766,98.98%,99.70%,0.9899,0.9898,0.9898,0.9970,0.9970,0.9970,243.66s,None
7,211.0250,10.0479,99.26%,99.69%,0.9926,0.9926,0.9926,0.9969,0.9969,0.9969,242.15s,None
8,196.1945,10.7970,99.31%,99.65%,0.9931,0.9931,0.9931,0.9966,0.9965,0.9965,242.48s,None
9,182.9317,11.3709,99.34%,99.67%,0.9934,0.9934,0.9934,0.9967,0.9967,0.9967,242.82s,None
10,172.0843,10.0321,99.39%,99.71%,0.9939,0.9939,0.9939,0.9971,0.9971,0.9971,242.95s,None
11,129.1561,8.9712,99.56%,99.75%,0.9956,0.9956,0.9956,0.9975,0.9975,0.9975,242.40s,None
12,122.6529,9.0298,99.59%,99.73%,0.9960,0.9959,0.9959,0.9974,0.9973,0.9973,247.95s,None
13,112.2038,8.9599,99.64%,99.75%,0.9964,0.9964,0.9964,0.9976,0.9975,0.9975,246.20s,None
14,108.0933,9.0061,99.64%,99.74%,0.9964,0.9964,0.9964,0.9974,0.9974,0.9974,243.98s,None
15,106.7659,8.8371,99.66%,99.73%,0.9966,0.9966,0.9966,0.9974,0.9973,0.9974,242.98s,None
16,93.4770,8.5142,99.70%,99.74%,0.9970,0.9970,0.9970,0.9975,0.9974,0.9974,242.43s,None
17,88.2128,8.5163,99.73%,99.75%,0.9973,0.9973,0.9973,0.9976,0.9975,0.9975,242.47s,None
