Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5707.0869,99.2492,77.87%,96.59%,0.7766,0.7787,0.7767,0.9678,0.9659,0.9657,227.52s,Simple
2,877.2764,39.7216,96.18%,98.67%,0.9617,0.9618,0.9617,0.9871,0.9867,0.9867,273.46s,Simple
3,438.7113,29.3702,98.11%,99.02%,0.9811,0.9811,0.9811,0.9906,0.9902,0.9902,271.54s,Simple
4,314.3259,21.7116,98.64%,99.28%,0.9864,0.9864,0.9864,0.9931,0.9928,0.9928,250.94s,Simple
5,213.6527,20.8804,99.12%,99.30%,0.9912,0.9912,0.9912,0.9936,0.9930,0.9930,251.42s,Simple
6,1123.1084,16.5082,95.97%,99.47%,0.9597,0.9597,0.9597,0.9948,0.9947,0.9947,212.68s,Complex
7,597.9052,16.1808,97.43%,99.50%,0.9743,0.9743,0.9743,0.9951,0.9950,0.9950,218.38s,Complex
8,57.6319,10.5125,99.80%,99.64%,0.9980,0.9980,0.9980,0.9965,0.9964,0.9964,223.62s,Complex
9,26.8950,8.9107,99.93%,99.73%,0.9993,0.9993,0.9993,0.9973,0.9973,0.9973,223.61s,Complex
10,30.7882,7.8465,99.92%,99.75%,0.9992,0.9992,0.9992,0.9975,0.9975,0.9975,215.23s,Complex
11,21.8384,7.0950,99.95%,99.79%,0.9995,0.9995,0.9995,0.9979,0.9979,0.9979,216.80s,Complex
12,10.3449,7.7196,99.99%,99.76%,0.9999,0.9999,0.9999,0.9976,0.9976,0.9976,218.28s,Complex
13,17.2154,7.3399,99.98%,99.79%,0.9998,0.9998,0.9998,0.9979,0.9979,0.9979,250.17s,Simple
14,11.3894,7.1252,99.99%,99.80%,0.9999,0.9999,0.9999,0.9980,0.9980,0.9980,223.58s,Simple
15,14.3339,6.9709,99.99%,99.79%,0.9999,0.9999,0.9999,0.9979,0.9979,0.9979,247.03s,Simple
16,54.1813,8.1393,99.85%,99.78%,0.9985,0.9985,0.9985,0.9978,0.9978,0.9978,237.75s,Simple
17,47.8791,8.3454,99.88%,99.75%,0.9988,0.9988,0.9988,0.9975,0.9975,0.9975,235.83s,Simple
