Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,8592.3950,882.0001,37.41%,70.55%,0.3996,0.3741,0.3701,0.7368,0.7055,0.6925,82.02s,None
2,2308.4835,439.9740,79.67%,83.94%,0.7906,0.7967,0.7931,0.8682,0.8394,0.8367,77.62s,None
3,1455.1564,265.7828,87.19%,90.39%,0.8694,0.8719,0.8704,0.9140,0.9039,0.8985,77.62s,None
4,1153.9658,278.2428,89.82%,90.57%,0.8964,0.8982,0.8971,0.9130,0.9057,0.9048,81.41s,None
5,1033.6038,197.9734,91.02%,93.27%,0.9091,0.9102,0.9095,0.9379,0.9327,0.9312,76.99s,None
6,322.2783,79.2260,97.06%,97.32%,0.9704,0.9706,0.9704,0.9748,0.9732,0.9732,76.07s,None
7,203.8558,44.0141,98.07%,98.46%,0.9806,0.9807,0.9806,0.9849,0.9846,0.9846,77.18s,None
8,151.6170,42.6435,98.59%,98.65%,0.9859,0.9859,0.9859,0.9867,0.9865,0.9864,78.73s,None
9,124.5536,42.9570,98.81%,98.67%,0.9881,0.9881,0.9881,0.9870,0.9867,0.9866,75.29s,None
10,122.5741,53.1193,98.83%,98.20%,0.9883,0.9883,0.9883,0.9828,0.9820,0.9820,76.51s,None
11,49.2091,29.0798,99.51%,99.22%,0.9951,0.9951,0.9951,0.9923,0.9922,0.9922,76.66s,None
12,26.5163,29.8680,99.75%,99.18%,0.9975,0.9975,0.9975,0.9920,0.9918,0.9918,77.85s,None
13,21.3921,29.9340,99.81%,99.27%,0.9981,0.9981,0.9981,0.9928,0.9927,0.9927,76.11s,None
14,14.5163,28.9878,99.86%,99.30%,0.9986,0.9986,0.9986,0.9930,0.9930,0.9929,78.74s,None
15,10.7224,27.3639,99.92%,99.36%,0.9992,0.9992,0.9992,0.9936,0.9936,0.9935,77.68s,None
16,7.3726,27.7769,99.94%,99.36%,0.9994,0.9994,0.9994,0.9937,0.9936,0.9936,78.63s,None
17,4.3890,29.7188,99.97%,99.36%,0.9997,0.9997,0.9997,0.9937,0.9936,0.9936,76.77s,None
