Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,16924.2822,456.8703,39.29%,83.90%,0.4526,0.3929,0.4029,0.8635,0.8390,0.8358,145.91s,None
2,3602.3252,190.5036,85.22%,93.05%,0.8501,0.8522,0.8510,0.9355,0.9305,0.9278,143.58s,None
3,2356.5000,181.2260,90.50%,93.95%,0.9045,0.9050,0.9047,0.9431,0.9395,0.9391,143.85s,None
4,1922.3474,143.0289,92.26%,94.99%,0.9226,0.9226,0.9225,0.9544,0.9499,0.9499,143.23s,None
5,1649.8227,103.2837,93.40%,96.51%,0.9342,0.9340,0.9341,0.9661,0.9651,0.9645,143.45s,None
6,730.8959,39.2481,97.09%,98.66%,0.9712,0.9709,0.9710,0.9868,0.9866,0.9865,144.47s,None
7,544.1724,29.1831,97.83%,99.04%,0.9784,0.9783,0.9783,0.9905,0.9904,0.9904,144.52s,None
8,466.1002,29.7749,98.14%,99.07%,0.9815,0.9814,0.9815,0.9908,0.9907,0.9907,143.20s,None
9,416.3125,31.1369,98.35%,99.03%,0.9836,0.9835,0.9836,0.9905,0.9903,0.9903,143.89s,None
10,393.1306,30.0041,98.43%,99.05%,0.9844,0.9843,0.9843,0.9907,0.9905,0.9905,142.57s,None
11,283.5427,19.9309,98.93%,99.41%,0.9893,0.9893,0.9893,0.9942,0.9941,0.9941,142.42s,None
12,246.7296,19.6734,99.04%,99.42%,0.9905,0.9904,0.9904,0.9943,0.9942,0.9942,144.09s,None
13,229.7013,19.6281,99.12%,99.41%,0.9913,0.9912,0.9912,0.9941,0.9941,0.9941,143.34s,None
14,215.2625,20.8761,99.20%,99.44%,0.9920,0.9920,0.9920,0.9944,0.9944,0.9944,145.17s,None
15,213.7488,20.7443,99.18%,99.45%,0.9919,0.9918,0.9918,0.9945,0.9945,0.9944,173.72s,None
16,184.1781,18.3967,99.33%,99.48%,0.9933,0.9933,0.9933,0.9949,0.9948,0.9948,198.30s,None
17,176.2540,18.0024,99.35%,99.48%,0.9936,0.9935,0.9935,0.9949,0.9948,0.9948,200.66s,None
