Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,15956.6530,618.5896,44.39%,79.96%,0.5072,0.4439,0.4521,0.8332,0.7996,0.7962,119.34s,Simple
2,3517.2488,382.6787,85.03%,86.95%,0.8476,0.8503,0.8487,0.8831,0.8695,0.8642,171.85s,Simple
3,2523.0894,306.2281,89.40%,89.32%,0.8927,0.8940,0.8932,0.9074,0.8932,0.8910,172.31s,Simple
4,1782.2161,191.2735,92.31%,93.81%,0.9224,0.9231,0.9227,0.9414,0.9381,0.9361,198.39s,Simple
5,1703.8396,166.1894,92.76%,94.41%,0.9270,0.9276,0.9272,0.9472,0.9441,0.9434,171.92s,Simple
6,2558.5465,88.3645,90.29%,97.31%,0.9033,0.9029,0.9029,0.9744,0.9731,0.9726,107.47s,Complex
7,1470.6972,50.7035,93.78%,98.23%,0.9377,0.9378,0.9377,0.9826,0.9823,0.9822,112.30s,Complex
8,289.1739,38.9018,98.69%,98.71%,0.9868,0.9869,0.9868,0.9874,0.9871,0.9870,108.29s,Complex
9,406.2235,34.7366,98.17%,98.88%,0.9817,0.9817,0.9817,0.9888,0.9888,0.9887,112.28s,Complex
10,297.8153,38.5898,98.64%,98.68%,0.9864,0.9864,0.9864,0.9873,0.9868,0.9868,112.26s,Complex
11,98.8833,22.3551,99.54%,99.36%,0.9954,0.9954,0.9954,0.9937,0.9936,0.9936,110.60s,Complex
12,42.5629,23.3275,99.79%,99.35%,0.9979,0.9979,0.9979,0.9936,0.9935,0.9935,167.51s,Complex
13,39.0424,23.1517,99.82%,99.41%,0.9982,0.9982,0.9982,0.9941,0.9941,0.9940,197.50s,Simple
14,31.9196,23.9015,99.85%,99.40%,0.9985,0.9985,0.9985,0.9941,0.9940,0.9940,140.43s,Simple
15,18.1174,24.5774,99.92%,99.39%,0.9992,0.9992,0.9992,0.9940,0.9939,0.9939,142.15s,Simple
16,103.7934,20.9752,99.53%,99.43%,0.9953,0.9953,0.9953,0.9944,0.9943,0.9943,130.92s,Simple
17,17.2943,22.4895,99.94%,99.45%,0.9994,0.9994,0.9994,0.9946,0.9945,0.9945,117.20s,Simple
