Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,3261.4553,765.1642,49.09%,68.61%,0.3761,0.4909,0.4061,0.5078,0.6861,0.5758,15.24s,None
2,3002.4396,729.4973,74.72%,82.82%,0.6378,0.7472,0.6684,0.7177,0.8282,0.7628,8.25s,None
3,2919.4993,722.1783,82.85%,85.62%,0.7233,0.8285,0.7643,0.7593,0.8562,0.7996,7.79s,None
4,2893.3288,717.1491,85.15%,87.73%,0.7692,0.8515,0.7941,0.8095,0.8773,0.8304,7.70s,None
5,2848.6207,706.4826,89.96%,91.94%,0.8370,0.8996,0.8629,0.8649,0.9194,0.8876,7.79s,None
6,2825.4730,702.7265,92.06%,93.60%,0.8878,0.9206,0.8893,0.9096,0.9360,0.9127,7.75s,None
7,2799.9208,697.5505,94.92%,95.59%,0.9147,0.9492,0.9303,0.9306,0.9559,0.9386,7.72s,None
8,2787.6661,694.4604,96.07%,97.03%,0.9396,0.9607,0.9463,0.9493,0.9703,0.9586,8.04s,None
9,2778.3067,693.7632,96.96%,97.07%,0.9475,0.9696,0.9573,0.9492,0.9707,0.9588,7.79s,None
10,2776.3141,693.5210,97.01%,97.09%,0.9476,0.9701,0.9576,0.9493,0.9709,0.9589,7.76s,None
11,2775.3575,693.4360,97.01%,97.10%,0.9472,0.9701,0.9575,0.9496,0.9710,0.9591,7.61s,None
12,2775.1855,693.4192,97.02%,97.08%,0.9474,0.9702,0.9576,0.9492,0.9708,0.9588,7.72s,None
13,2774.8869,693.3424,97.04%,97.12%,0.9586,0.9704,0.9579,0.9572,0.9712,0.9596,7.73s,None
14,2773.6120,692.2150,97.25%,97.90%,0.9600,0.9725,0.9619,0.9684,0.9790,0.9713,7.58s,None
15,2769.3174,691.1593,97.81%,98.23%,0.9651,0.9781,0.9700,0.9714,0.9823,0.9759,7.76s,None
16,2766.3625,690.8469,98.04%,98.25%,0.9671,0.9804,0.9728,0.9719,0.9825,0.9763,7.63s,None
17,2765.4683,690.7158,98.10%,98.29%,0.9675,0.9810,0.9734,0.9720,0.9829,0.9766,7.66s,None
