Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,6590.2492,783.4028,44.77%,60.71%,0.3167,0.4477,0.3434,0.4288,0.6071,0.4885,30.51s,None
2,6107.1958,747.2058,69.31%,75.36%,0.5557,0.6931,0.6007,0.6110,0.7536,0.6654,31.71s,None
3,5986.1049,738.5337,75.10%,78.64%,0.6159,0.7510,0.6654,0.6574,0.7864,0.7078,31.21s,None
4,5867.5253,716.4866,81.32%,87.88%,0.7377,0.8132,0.7542,0.7996,0.8788,0.8323,31.34s,None
5,5741.0867,706.6939,87.86%,91.73%,0.8164,0.8786,0.8383,0.8565,0.9173,0.8832,31.37s,None
6,5680.0403,705.8937,90.69%,91.93%,0.8415,0.9069,0.8708,0.8675,0.9193,0.8859,31.85s,None
7,5669.0282,704.0162,91.18%,92.72%,0.8513,0.9118,0.8785,0.8744,0.9272,0.8972,32.30s,None
8,5656.0716,701.7182,91.83%,93.65%,0.8671,0.9183,0.8883,0.8887,0.9365,0.9098,31.98s,None
9,5639.1018,701.3785,92.64%,93.71%,0.8735,0.9264,0.8975,0.8901,0.9371,0.9107,31.58s,None
10,5625.4317,698.0720,93.43%,95.28%,0.9013,0.9343,0.9093,0.9232,0.9528,0.9340,31.57s,None
11,5599.7410,696.3548,94.83%,95.89%,0.9124,0.9483,0.9290,0.9273,0.9589,0.9415,31.93s,None
12,5591.3398,696.2239,95.14%,95.89%,0.9156,0.9514,0.9322,0.9274,0.9589,0.9415,31.36s,None
13,5590.2487,696.2080,95.13%,95.91%,0.9154,0.9513,0.9320,0.9274,0.9591,0.9416,31.55s,None
14,5587.6487,696.1605,95.21%,95.97%,0.9159,0.9521,0.9327,0.9321,0.9597,0.9428,31.47s,None
15,5583.5793,695.0574,95.54%,96.42%,0.9239,0.9554,0.9387,0.9386,0.9642,0.9498,31.47s,None
16,5576.3122,695.0012,95.89%,96.42%,0.9313,0.9589,0.9437,0.9381,0.9642,0.9496,31.34s,None
17,5575.2343,694.9496,95.88%,96.44%,0.9313,0.9588,0.9437,0.9387,0.9644,0.9500,31.95s,None
