Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,6690.2802,798.2905,39.50%,54.31%,0.2701,0.3950,0.2796,0.3519,0.5431,0.4157,22.75s,Simple
2,6228.6603,750.0023,62.95%,74.38%,0.4970,0.6295,0.5289,0.6002,0.7438,0.6541,43.67s,Simple
3,5977.3192,736.9295,75.58%,79.20%,0.6320,0.7558,0.6700,0.6623,0.7920,0.7138,43.07s,Simple
4,5798.1032,718.2815,84.96%,86.91%,0.7556,0.8496,0.7954,0.7777,0.8691,0.8166,43.94s,Simple
5,5742.3696,708.6108,87.50%,90.97%,0.8201,0.8750,0.8292,0.8628,0.9097,0.8762,43.31s,Simple
6,5689.2950,705.5490,90.63%,92.14%,0.8447,0.9063,0.8719,0.8666,0.9214,0.8898,22.00s,Complex
7,5668.2762,704.2773,91.42%,92.64%,0.8556,0.9142,0.8815,0.8738,0.9264,0.8964,22.08s,Complex
8,5640.3386,703.6586,92.43%,92.77%,0.8684,0.9243,0.8928,0.8804,0.9277,0.8980,20.59s,Complex
9,5628.7055,700.5510,93.07%,94.13%,0.8828,0.9307,0.9019,0.9003,0.9413,0.9178,25.62s,Complex
10,5624.5674,696.8899,93.86%,95.70%,0.9060,0.9386,0.9177,0.9284,0.9570,0.9390,21.81s,Complex
11,5577.5258,695.2637,95.75%,96.29%,0.9253,0.9575,0.9397,0.9334,0.9629,0.9467,21.95s,Complex
12,5571.9718,695.2020,95.97%,96.30%,0.9269,0.9597,0.9418,0.9333,0.9630,0.9468,41.66s,Complex
13,5570.0999,694.9774,95.97%,96.39%,0.9265,0.9597,0.9417,0.9482,0.9639,0.9487,41.98s,Simple
14,5556.6259,692.1400,96.96%,97.69%,0.9496,0.9696,0.9584,0.9654,0.9769,0.9671,32.43s,Simple
15,5539.9730,690.3599,97.81%,98.44%,0.9635,0.9781,0.9695,0.9724,0.9844,0.9779,32.79s,Simple
16,5536.6389,690.3250,98.06%,98.42%,0.9656,0.9806,0.9726,0.9718,0.9842,0.9776,30.87s,Simple
17,5529.6529,690.1714,98.18%,98.47%,0.9669,0.9818,0.9738,0.9723,0.9847,0.9780,23.91s,Simple
