Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,1463.0167,108.0304,56.60%,85.89%,0.5626,0.5660,0.5571,0.8785,0.8589,0.8539,33.33s,None
2,340.1053,55.7145,89.02%,92.65%,0.8897,0.8902,0.8899,0.9294,0.9265,0.9261,31.75s,None
3,160.6905,34.6925,94.95%,95.75%,0.9494,0.9495,0.9494,0.9613,0.9575,0.9572,32.00s,None
4,106.2130,17.2398,96.56%,97.88%,0.9656,0.9656,0.9656,0.9793,0.9788,0.9788,31.77s,None
5,68.6295,16.9423,97.85%,98.12%,0.9785,0.9785,0.9785,0.9817,0.9812,0.9812,31.56s,None
6,25.7350,10.0713,99.20%,98.78%,0.9920,0.9920,0.9920,0.9880,0.9878,0.9877,31.62s,None
7,12.8952,7.5211,99.62%,99.11%,0.9962,0.9962,0.9962,0.9911,0.9911,0.9911,31.58s,None
8,7.9883,7.4749,99.81%,99.21%,0.9981,0.9981,0.9981,0.9921,0.9921,0.9921,31.85s,None
9,5.4639,7.4730,99.89%,99.29%,0.9989,0.9989,0.9989,0.9929,0.9929,0.9929,31.60s,None
10,5.7521,6.8865,99.83%,99.35%,0.9983,0.9983,0.9983,0.9935,0.9935,0.9935,31.65s,None
11,3.5267,6.0070,99.91%,99.38%,0.9991,0.9991,0.9991,0.9938,0.9938,0.9937,32.07s,None
12,2.3606,6.1283,99.96%,99.36%,0.9996,0.9996,0.9996,0.9937,0.9936,0.9936,31.53s,None
13,1.9318,5.6797,99.96%,99.43%,0.9996,0.9996,0.9996,0.9943,0.9943,0.9943,31.51s,None
14,1.6887,5.9598,99.97%,99.35%,0.9997,0.9997,0.9997,0.9935,0.9935,0.9935,31.13s,None
15,2.0434,5.7162,99.96%,99.36%,0.9996,0.9996,0.9996,0.9936,0.9936,0.9936,31.67s,None
16,1.5548,5.8630,99.97%,99.38%,0.9997,0.9997,0.9997,0.9938,0.9938,0.9937,31.34s,None
17,1.4929,5.8004,99.98%,99.39%,0.9998,0.9998,0.9998,0.9939,0.9939,0.9939,31.71s,None
