Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,3353.2819,102.8516,51.66%,86.22%,0.5111,0.5166,0.5050,0.8859,0.8622,0.8564,73.05s,None
2,813.6174,30.2210,87.81%,96.21%,0.8773,0.8781,0.8775,0.9635,0.9621,0.9620,73.29s,None
3,456.2776,23.1340,93.19%,97.22%,0.9318,0.9319,0.9318,0.9733,0.9722,0.9720,73.92s,None
4,319.7629,15.6721,95.31%,98.05%,0.9531,0.9531,0.9531,0.9814,0.9805,0.9806,74.70s,None
5,258.0389,13.0790,96.19%,98.30%,0.9619,0.9619,0.9619,0.9832,0.9830,0.9830,73.86s,None
6,144.0524,5.8897,97.93%,99.16%,0.9794,0.9793,0.9793,0.9917,0.9916,0.9916,74.45s,None
7,121.1677,5.9961,98.24%,99.36%,0.9824,0.9824,0.9823,0.9936,0.9936,0.9936,73.78s,None
8,106.8240,5.9658,98.45%,99.27%,0.9845,0.9845,0.9845,0.9928,0.9927,0.9927,74.00s,None
9,93.3287,5.9893,98.65%,99.31%,0.9865,0.9865,0.9865,0.9932,0.9931,0.9931,73.92s,None
10,88.4198,5.6599,98.72%,99.31%,0.9872,0.9872,0.9872,0.9932,0.9931,0.9931,74.07s,None
11,68.6061,4.5073,99.00%,99.43%,0.9900,0.9900,0.9900,0.9943,0.9943,0.9943,74.23s,None
12,62.3264,4.8271,99.12%,99.45%,0.9912,0.9912,0.9912,0.9945,0.9945,0.9945,74.69s,None
13,58.4616,4.8896,99.16%,99.39%,0.9916,0.9916,0.9916,0.9939,0.9939,0.9939,74.25s,None
14,51.9979,4.4532,99.24%,99.52%,0.9924,0.9924,0.9924,0.9952,0.9952,0.9951,74.22s,None
15,52.2576,4.2676,99.28%,99.41%,0.9928,0.9928,0.9928,0.9942,0.9941,0.9941,73.89s,None
16,47.4746,4.3506,99.32%,99.49%,0.9932,0.9932,0.9932,0.9949,0.9949,0.9949,74.09s,None
17,46.6428,4.0512,99.39%,99.50%,0.9939,0.9939,0.9939,0.9951,0.9950,0.9950,73.99s,None
