Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,3111.3966,137.2033,52.80%,81.65%,0.5160,0.5280,0.5153,0.8368,0.8165,0.8119,75.17s,Simple
2,815.6839,41.4080,87.18%,95.04%,0.8706,0.8718,0.8709,0.9524,0.9504,0.9495,92.03s,Simple
3,405.7236,23.6697,93.79%,97.03%,0.9378,0.9379,0.9379,0.9719,0.9703,0.9703,92.01s,Simple
4,232.2058,17.2346,96.51%,98.00%,0.9651,0.9651,0.9651,0.9804,0.9800,0.9800,92.45s,Simple
5,148.9257,10.4911,97.70%,98.81%,0.9770,0.9770,0.9770,0.9883,0.9881,0.9881,83.67s,Simple
6,634.5766,10.4499,91.30%,98.89%,0.9141,0.9130,0.9130,0.9890,0.9889,0.9889,69.69s,Complex
7,51.7463,6.2021,99.22%,99.30%,0.9922,0.9922,0.9922,0.9931,0.9930,0.9930,70.64s,Complex
8,29.1879,5.6040,99.56%,99.36%,0.9956,0.9956,0.9956,0.9937,0.9936,0.9936,70.15s,Complex
9,171.9520,6.7976,97.60%,99.30%,0.9760,0.9760,0.9760,0.9931,0.9930,0.9930,71.57s,Complex
10,31.2201,4.8497,99.54%,99.49%,0.9954,0.9954,0.9954,0.9949,0.9949,0.9949,70.83s,Complex
11,18.2696,4.0770,99.74%,99.55%,0.9974,0.9974,0.9974,0.9956,0.9955,0.9955,71.18s,Complex
12,4.5680,4.4181,99.96%,99.52%,0.9996,0.9996,0.9996,0.9952,0.9952,0.9951,91.09s,Complex
13,3.4547,3.9644,99.97%,99.58%,0.9997,0.9997,0.9997,0.9958,0.9958,0.9958,91.10s,Simple
14,7.5792,3.9154,99.89%,99.62%,0.9989,0.9989,0.9989,0.9962,0.9962,0.9962,82.95s,Simple
15,4.1227,4.1546,99.95%,99.57%,0.9995,0.9995,0.9995,0.9957,0.9957,0.9957,74.18s,Simple
16,2.5733,4.4668,99.97%,99.54%,0.9997,0.9997,0.9997,0.9954,0.9954,0.9954,74.31s,Simple
17,36.5360,4.6402,99.46%,99.53%,0.9946,0.9946,0.9946,0.9953,0.9953,0.9953,76.10s,Simple
