Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,2983.5934,527.3484,17.88%,37.49%,0.1369,0.1788,0.1384,0.2731,0.3749,0.2784,15.36s,None
2,1824.4322,361.0555,45.19%,57.35%,0.3932,0.4519,0.4055,0.5424,0.5735,0.5266,14.20s,None
3,1283.4924,293.7417,61.48%,64.21%,0.5670,0.6148,0.5782,0.6206,0.6421,0.6033,14.16s,None
4,920.4323,221.9952,72.29%,73.34%,0.7093,0.7229,0.7113,0.7475,0.7334,0.7235,14.02s,None
5,737.9899,131.4177,77.15%,83.23%,0.7670,0.7715,0.7661,0.8388,0.8323,0.8292,14.30s,None
6,321.7451,64.1274,89.68%,91.70%,0.8962,0.8968,0.8962,0.9227,0.9170,0.9162,14.41s,None
7,254.4373,52.4867,91.89%,93.25%,0.9186,0.9189,0.9185,0.9370,0.9325,0.9316,14.01s,None
8,202.2192,42.8213,93.46%,94.30%,0.9345,0.9346,0.9345,0.9464,0.9430,0.9425,13.85s,None
9,169.9800,61.4899,94.42%,92.35%,0.9441,0.9442,0.9440,0.9283,0.9235,0.9222,14.13s,None
10,166.8126,44.7822,94.65%,94.49%,0.9463,0.9465,0.9464,0.9472,0.9449,0.9446,14.18s,None
11,75.4290,28.0821,97.60%,96.47%,0.9760,0.9760,0.9760,0.9650,0.9647,0.9645,16.19s,None
12,60.8472,23.9440,98.05%,97.14%,0.9805,0.9805,0.9805,0.9717,0.9714,0.9713,15.25s,None
13,51.9511,23.9826,98.27%,97.39%,0.9826,0.9827,0.9826,0.9741,0.9739,0.9738,15.87s,None
14,40.9073,23.1529,98.59%,97.22%,0.9859,0.9859,0.9859,0.9725,0.9722,0.9721,14.84s,None
15,41.1813,23.2113,98.60%,97.31%,0.9860,0.9860,0.9860,0.9735,0.9731,0.9731,14.81s,None
16,18.2643,19.9311,99.40%,97.73%,0.9940,0.9940,0.9940,0.9775,0.9773,0.9773,15.02s,None
17,11.6657,23.6991,99.64%,97.60%,0.9964,0.9964,0.9964,0.9763,0.9760,0.9760,16.33s,None
