Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5722.9501,450.4221,17.72%,41.01%,0.1535,0.1772,0.1447,0.2995,0.4101,0.3123,43.80s,None
2,3533.8158,333.3548,41.20%,50.50%,0.3771,0.4120,0.3770,0.5432,0.5050,0.4699,41.75s,None
3,2579.7113,217.2483,57.93%,70.29%,0.5592,0.5793,0.5595,0.7116,0.7029,0.6730,41.63s,None
4,1821.7854,151.1601,71.58%,80.64%,0.7046,0.7158,0.7069,0.8207,0.8064,0.7943,41.42s,None
5,1450.2646,135.8323,77.88%,83.49%,0.7721,0.7788,0.7736,0.8424,0.8349,0.8251,41.94s,None
6,693.1610,44.7262,89.64%,94.34%,0.8952,0.8964,0.8954,0.9469,0.9434,0.9433,41.73s,None
7,541.8420,41.3871,91.99%,94.76%,0.9197,0.9199,0.9196,0.9499,0.9476,0.9473,41.62s,None
8,470.3151,55.6930,93.23%,93.29%,0.9322,0.9323,0.9321,0.9367,0.9329,0.9330,41.40s,None
9,411.3247,27.8005,94.16%,96.66%,0.9415,0.9416,0.9415,0.9672,0.9666,0.9665,41.54s,None
10,381.8990,21.3060,94.44%,97.39%,0.9443,0.9444,0.9443,0.9741,0.9739,0.9737,41.35s,None
11,235.3111,14.9305,96.59%,98.25%,0.9659,0.9659,0.9659,0.9828,0.9825,0.9825,41.39s,None
12,203.8231,13.8605,97.15%,98.43%,0.9715,0.9715,0.9714,0.9845,0.9843,0.9843,41.73s,None
13,186.3237,12.1171,97.39%,98.48%,0.9739,0.9739,0.9739,0.9850,0.9848,0.9848,41.68s,None
14,188.7971,10.9834,97.36%,98.60%,0.9736,0.9736,0.9736,0.9860,0.9860,0.9859,41.39s,None
15,169.3031,14.7219,97.62%,98.39%,0.9762,0.9762,0.9762,0.9844,0.9839,0.9840,41.72s,None
16,141.8547,8.3477,98.01%,98.89%,0.9801,0.9801,0.9800,0.9890,0.9889,0.9889,42.08s,None
17,126.6801,8.3399,98.22%,98.85%,0.9822,0.9822,0.9822,0.9886,0.9885,0.9885,41.40s,None
