Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5170.2700,417.4253,23.37%,40.36%,0.2166,0.2337,0.1993,0.3325,0.4036,0.3138,35.16s,Simple
2,3009.7237,286.9363,49.31%,62.24%,0.4614,0.4931,0.4654,0.6369,0.6224,0.5912,52.53s,Simple
3,2002.2403,205.4135,68.17%,73.38%,0.6660,0.6817,0.6689,0.7792,0.7338,0.7327,53.08s,Simple
4,1537.7740,204.0689,76.02%,75.92%,0.7530,0.7602,0.7542,0.7775,0.7592,0.7542,52.86s,Simple
5,1284.3102,123.6905,80.44%,83.97%,0.8008,0.8044,0.8015,0.8578,0.8397,0.8319,52.69s,Simple
6,884.5354,60.3082,86.72%,92.13%,0.8659,0.8672,0.8658,0.9252,0.9213,0.9199,34.29s,Complex
7,675.8402,47.1786,89.60%,94.06%,0.8954,0.8960,0.8953,0.9419,0.9406,0.9402,34.19s,Complex
8,345.0704,49.3938,94.75%,93.98%,0.9473,0.9475,0.9473,0.9443,0.9398,0.9403,33.21s,Complex
9,287.0807,34.4368,95.57%,96.05%,0.9556,0.9557,0.9556,0.9626,0.9605,0.9607,36.27s,Complex
10,501.7562,36.2116,92.47%,95.77%,0.9248,0.9247,0.9246,0.9593,0.9577,0.9577,34.40s,Complex
11,117.4207,23.1588,98.20%,97.32%,0.9819,0.9820,0.9819,0.9741,0.9732,0.9733,34.01s,Complex
12,82.3321,17.6512,98.70%,98.27%,0.9870,0.9870,0.9869,0.9829,0.9827,0.9826,51.60s,Complex
13,76.3126,20.0406,98.79%,97.87%,0.9879,0.9879,0.9879,0.9791,0.9787,0.9787,51.52s,Simple
14,81.6835,15.2428,98.69%,98.27%,0.9869,0.9869,0.9869,0.9829,0.9827,0.9827,42.82s,Simple
15,60.3375,16.4099,99.03%,98.27%,0.9903,0.9903,0.9903,0.9829,0.9827,0.9826,42.81s,Simple
16,79.8786,14.4593,98.81%,98.39%,0.9881,0.9881,0.9881,0.9842,0.9839,0.9840,40.51s,Simple
17,18.6559,13.8418,99.72%,98.62%,0.9972,0.9972,0.9972,0.9864,0.9862,0.9862,36.01s,Simple
