Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,4702.7050,1077.1667,58.70%,83.42%,0.5648,0.5870,0.5317,0.7580,0.8342,0.7763,13.96s,None
2,4211.9920,1033.9433,91.07%,94.98%,0.8846,0.9107,0.8843,0.9181,0.9498,0.9311,11.38s,None
3,4128.5443,1023.9012,96.14%,97.46%,0.9445,0.9614,0.9500,0.9554,0.9746,0.9640,11.44s,None
4,4103.3913,1023.0883,97.58%,97.49%,0.9569,0.9758,0.9655,0.9553,0.9749,0.9641,11.39s,None
5,4082.4338,1015.1423,99.11%,99.87%,0.9913,0.9911,0.9904,0.9987,0.9987,0.9987,11.63s,None
6,4068.2644,1014.5066,99.92%,99.91%,0.9992,0.9992,0.9992,0.9991,0.9991,0.9991,11.40s,None
7,4066.6022,1014.3295,99.95%,99.93%,0.9995,0.9995,0.9995,0.9993,0.9993,0.9993,11.47s,None
8,4066.1170,1014.3450,99.96%,99.93%,0.9996,0.9996,0.9996,0.9993,0.9993,0.9993,11.47s,None
9,4065.7498,1014.2271,99.97%,99.96%,0.9997,0.9997,0.9997,0.9996,0.9996,0.9996,11.31s,None
10,4065.6007,1014.2428,99.97%,99.95%,0.9997,0.9997,0.9997,0.9995,0.9995,0.9995,11.33s,None
11,4065.3185,1014.1735,99.98%,99.95%,0.9998,0.9998,0.9998,0.9995,0.9995,0.9995,11.50s,None
12,4065.1412,1014.1630,99.98%,99.96%,0.9998,0.9998,0.9998,0.9996,0.9996,0.9996,11.26s,None
13,4065.1581,1014.1767,99.98%,99.94%,0.9998,0.9998,0.9998,0.9994,0.9994,0.9994,11.33s,None
14,4065.0244,1014.1609,99.98%,99.96%,0.9998,0.9998,0.9998,0.9996,0.9996,0.9996,11.39s,None
15,4064.9412,1014.1566,99.98%,99.96%,0.9998,0.9998,0.9998,0.9996,0.9996,0.9996,11.39s,None
16,4064.8828,1014.1342,99.98%,99.96%,0.9998,0.9998,0.9998,0.9996,0.9996,0.9996,11.32s,None
17,4064.8868,1014.1632,99.98%,99.95%,0.9998,0.9998,0.9998,0.9995,0.9995,0.9995,11.38s,None
