Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,9334.1424,1073.6231,60.44%,83.81%,0.5782,0.6044,0.5542,0.7769,0.8381,0.7891,51.95s,None
2,8533.4542,1040.1995,87.02%,92.81%,0.8361,0.8702,0.8364,0.8916,0.9281,0.9045,49.02s,None
3,8357.1968,1031.5702,92.75%,95.17%,0.8944,0.9275,0.9075,0.9227,0.9517,0.9341,48.56s,None
4,8272.4232,1021.0732,95.64%,98.57%,0.9637,0.9564,0.9465,0.9879,0.9857,0.9841,48.65s,None
5,8176.3878,1014.5734,98.99%,99.86%,0.9899,0.9899,0.9899,0.9986,0.9986,0.9986,49.05s,None
6,8157.5137,1014.3795,99.34%,99.89%,0.9934,0.9934,0.9934,0.9989,0.9989,0.9989,48.20s,None
7,8153.1678,1014.3783,99.42%,99.89%,0.9942,0.9942,0.9942,0.9989,0.9989,0.9989,48.23s,None
8,8150.2493,1014.2845,99.52%,99.97%,0.9952,0.9952,0.9952,0.9997,0.9997,0.9997,48.05s,None
9,8150.9948,1014.2756,99.46%,99.90%,0.9947,0.9946,0.9946,0.9990,0.9990,0.9990,50.38s,None
10,8148.3256,1014.2589,99.52%,99.88%,0.9952,0.9952,0.9952,0.9988,0.9988,0.9988,48.16s,None
11,8145.8674,1014.2215,99.60%,99.95%,0.9960,0.9960,0.9960,0.9995,0.9995,0.9995,48.39s,None
12,8144.9458,1014.1684,99.61%,99.95%,0.9961,0.9961,0.9961,0.9995,0.9995,0.9995,48.10s,None
13,8144.5178,1014.2239,99.62%,99.95%,0.9962,0.9962,0.9962,0.9995,0.9995,0.9995,48.43s,None
14,8144.3759,1014.1238,99.62%,99.94%,0.9962,0.9962,0.9962,0.9994,0.9994,0.9994,48.01s,None
15,8143.6701,1014.2053,99.65%,99.92%,0.9965,0.9965,0.9965,0.9992,0.9992,0.9992,48.33s,None
16,8142.4962,1014.1031,99.67%,99.97%,0.9967,0.9967,0.9967,0.9997,0.9997,0.9997,48.18s,None
17,8141.9768,1014.0444,99.68%,99.97%,0.9969,0.9968,0.9968,0.9997,0.9997,0.9997,53.09s,None
