Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,9156.6167,1049.9033,66.59%,90.25%,0.6632,0.6659,0.6322,0.8509,0.9025,0.8695,36.68s,Simple
2,8344.8338,1023.6696,93.35%,97.51%,0.9264,0.9335,0.9180,0.9611,0.9751,0.9665,67.14s,Simple
3,8166.0143,1014.9873,99.24%,99.77%,0.9926,0.9924,0.9923,0.9977,0.9977,0.9977,69.99s,Simple
4,8145.4115,1014.3167,99.74%,99.94%,0.9974,0.9974,0.9974,0.9994,0.9994,0.9994,58.74s,Simple
5,8136.3678,1014.1627,99.90%,99.96%,0.9990,0.9990,0.9990,0.9996,0.9996,0.9996,84.66s,Simple
6,8166.9397,1014.1525,99.31%,99.95%,0.9931,0.9931,0.9931,0.9995,0.9995,0.9995,35.06s,Complex
7,8150.6760,1014.1281,99.66%,99.96%,0.9966,0.9966,0.9966,0.9996,0.9996,0.9996,35.26s,Complex
8,8130.9871,1014.0038,99.96%,99.97%,0.9996,0.9996,0.9996,0.9997,0.9997,0.9997,34.60s,Complex
9,8130.7596,1013.9947,99.97%,99.97%,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,41.55s,Complex
10,8147.4366,1014.0078,99.68%,99.97%,0.9968,0.9968,0.9968,0.9997,0.9997,0.9997,36.54s,Complex
11,8132.1846,1013.9254,99.95%,99.97%,0.9995,0.9995,0.9995,0.9997,0.9997,0.9997,35.48s,Complex
12,8129.5933,1013.9285,99.98%,99.97%,0.9998,0.9998,0.9998,0.9997,0.9997,0.9997,76.89s,Complex
13,8130.3198,1013.9234,99.98%,99.97%,0.9998,0.9998,0.9998,0.9997,0.9997,0.9997,56.95s,Simple
14,8129.6667,1013.9521,99.98%,99.97%,0.9998,0.9998,0.9998,0.9997,0.9997,0.9997,40.79s,Simple
15,8129.3582,1013.9409,99.98%,99.97%,0.9998,0.9998,0.9998,0.9997,0.9997,0.9997,52.77s,Simple
16,8129.1518,1013.9481,99.99%,99.97%,0.9999,0.9999,0.9999,0.9997,0.9997,0.9997,49.44s,Simple
17,8129.2508,1013.9404,99.98%,99.97%,0.9998,0.9998,0.9998,0.9997,0.9997,0.9997,43.44s,Simple
