Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,1742.7843,94.3691,64.47%,91.61%,0.6445,0.6447,0.6440,0.9248,0.9161,0.9170,48.20s,None
2,288.6858,36.7113,93.77%,96.82%,0.9376,0.9377,0.9376,0.9695,0.9682,0.9682,47.47s,None
3,136.8608,22.2006,97.15%,98.08%,0.9714,0.9715,0.9714,0.9810,0.9808,0.9808,45.60s,None
4,90.9598,14.1665,98.10%,98.91%,0.9810,0.9810,0.9810,0.9893,0.9891,0.9891,45.84s,None
5,68.7825,13.4565,98.57%,99.02%,0.9857,0.9857,0.9857,0.9903,0.9902,0.9902,44.89s,None
6,19.4864,5.7550,99.60%,99.54%,0.9960,0.9960,0.9959,0.9954,0.9954,0.9954,45.44s,None
7,10.2399,5.2651,99.81%,99.61%,0.9981,0.9981,0.9981,0.9961,0.9961,0.9961,45.24s,None
8,6.2071,6.6311,99.91%,99.58%,0.9991,0.9991,0.9991,0.9958,0.9958,0.9958,45.59s,None
9,6.0416,5.7957,99.90%,99.59%,0.9990,0.9990,0.9990,0.9959,0.9959,0.9959,45.75s,None
10,3.7753,5.7920,99.94%,99.58%,0.9994,0.9994,0.9994,0.9958,0.9958,0.9958,45.33s,None
11,2.8974,5.3098,99.95%,99.65%,0.9995,0.9995,0.9995,0.9965,0.9965,0.9965,45.53s,None
12,2.0831,4.6887,99.98%,99.67%,0.9998,0.9998,0.9998,0.9967,0.9967,0.9967,45.44s,None
13,1.7324,4.9239,99.98%,99.69%,0.9998,0.9998,0.9998,0.9969,0.9969,0.9969,44.84s,None
14,1.6597,5.3981,99.98%,99.65%,0.9998,0.9998,0.9998,0.9965,0.9965,0.9965,45.42s,None
15,1.8382,4.9785,99.97%,99.70%,0.9997,0.9997,0.9997,0.9970,0.9970,0.9970,45.36s,None
16,1.3651,5.0474,99.98%,99.67%,0.9998,0.9998,0.9998,0.9967,0.9967,0.9967,45.23s,None
17,1.2685,4.9714,99.99%,99.71%,0.9999,0.9999,0.9999,0.9971,0.9971,0.9971,44.97s,None
