Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,4093.5599,68.8162,59.89%,94.37%,0.5964,0.5989,0.5972,0.9476,0.9437,0.9437,109.97s,None
2,861.8639,30.4516,91.44%,97.41%,0.9144,0.9144,0.9143,0.9752,0.9741,0.9741,110.03s,None
3,488.8538,18.5213,95.13%,98.53%,0.9513,0.9513,0.9513,0.9859,0.9853,0.9854,110.32s,None
4,345.7064,11.6746,96.60%,99.03%,0.9660,0.9660,0.9660,0.9904,0.9903,0.9903,110.03s,None
5,270.3443,14.3851,97.30%,98.77%,0.9730,0.9730,0.9730,0.9878,0.9877,0.9876,110.43s,None
6,154.3438,5.5491,98.53%,99.61%,0.9853,0.9853,0.9853,0.9962,0.9961,0.9961,113.39s,None
7,119.1861,4.1847,98.88%,99.72%,0.9888,0.9888,0.9888,0.9972,0.9972,0.9972,110.30s,None
8,103.0965,3.6755,99.02%,99.73%,0.9903,0.9902,0.9902,0.9973,0.9973,0.9973,110.61s,None
9,97.0187,4.2926,99.10%,99.67%,0.9910,0.9910,0.9910,0.9968,0.9967,0.9967,110.28s,None
10,96.1027,4.0320,99.12%,99.74%,0.9912,0.9912,0.9912,0.9974,0.9974,0.9974,110.91s,None
11,72.1860,3.4004,99.34%,99.77%,0.9934,0.9934,0.9934,0.9977,0.9977,0.9977,110.27s,None
12,63.9117,3.1998,99.39%,99.78%,0.9940,0.9939,0.9939,0.9979,0.9978,0.9978,110.84s,None
13,63.1791,3.2672,99.43%,99.78%,0.9943,0.9943,0.9943,0.9978,0.9978,0.9978,110.20s,None
14,65.8643,2.9925,99.41%,99.78%,0.9941,0.9941,0.9941,0.9979,0.9978,0.9978,110.02s,None
15,59.1711,3.6538,99.46%,99.72%,0.9946,0.9946,0.9946,0.9972,0.9972,0.9972,110.36s,None
16,54.8343,3.3524,99.50%,99.75%,0.9951,0.9950,0.9950,0.9975,0.9975,0.9975,110.18s,None
17,53.6836,3.7375,99.50%,99.77%,0.9950,0.9950,0.9950,0.9977,0.9977,0.9977,110.10s,None
