Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,3266.1240,93.6784,67.58%,91.86%,0.6746,0.6758,0.6749,0.9233,0.9186,0.9185,109.49s,Simple
2,521.4876,20.5393,94.68%,98.20%,0.9467,0.9468,0.9467,0.9826,0.9820,0.9821,110.66s,Simple
3,293.0515,14.4139,97.04%,98.83%,0.9704,0.9704,0.9704,0.9885,0.9883,0.9883,135.94s,Simple
4,146.7507,11.0336,98.52%,99.21%,0.9852,0.9852,0.9852,0.9924,0.9921,0.9921,147.58s,Simple
5,147.4092,31.0465,98.54%,98.45%,0.9854,0.9854,0.9854,0.9871,0.9845,0.9845,136.22s,Simple
6,678.4931,7.4893,93.58%,99.43%,0.9360,0.9358,0.9358,0.9943,0.9943,0.9943,103.44s,Complex
7,37.4888,4.4071,99.65%,99.72%,0.9965,0.9965,0.9965,0.9972,0.9972,0.9971,104.13s,Complex
8,18.1499,3.7774,99.84%,99.76%,0.9984,0.9984,0.9984,0.9976,0.9976,0.9976,104.35s,Complex
9,17.2978,3.2823,99.84%,99.73%,0.9984,0.9984,0.9984,0.9973,0.9973,0.9973,106.09s,Complex
10,32.3220,3.6107,99.68%,99.75%,0.9968,0.9968,0.9968,0.9975,0.9975,0.9975,105.82s,Complex
11,16.1797,2.8981,99.86%,99.83%,0.9986,0.9986,0.9986,0.9983,0.9983,0.9983,106.19s,Complex
12,4.7573,2.4192,99.97%,99.87%,0.9997,0.9997,0.9997,0.9987,0.9987,0.9987,105.95s,Complex
13,9.3115,2.8199,99.92%,99.82%,0.9992,0.9992,0.9992,0.9982,0.9982,0.9982,122.00s,Simple
14,5.9686,2.8751,99.96%,99.83%,0.9996,0.9996,0.9996,0.9983,0.9983,0.9983,121.83s,Simple
15,4.2458,2.1527,99.98%,99.88%,0.9998,0.9998,0.9998,0.9988,0.9988,0.9988,123.23s,Simple
16,4.0190,2.4035,99.98%,99.91%,0.9998,0.9998,0.9998,0.9991,0.9991,0.9990,109.30s,Simple
17,2.8241,2.3178,99.99%,99.87%,0.9999,0.9999,0.9999,0.9987,0.9987,0.9987,108.97s,Simple
