Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,9781.0898,843.8158,7.92%,20.55%,0.1056,0.0792,0.0747,0.2114,0.2055,0.1505,61.55s,None
2,4609.1347,524.5269,47.91%,56.40%,0.4707,0.4791,0.4735,0.6112,0.5640,0.5319,61.62s,None
3,2513.9784,221.1778,72.79%,79.22%,0.7244,0.7279,0.7255,0.8158,0.7922,0.7759,64.71s,None
4,1947.7832,249.3184,79.92%,85.51%,0.7978,0.7992,0.7982,0.8681,0.8551,0.8475,65.31s,None
5,1514.4376,128.9225,84.73%,89.55%,0.8468,0.8473,0.8468,0.8969,0.8955,0.8903,65.38s,None
6,761.2471,48.7259,92.38%,96.04%,0.9237,0.9238,0.9237,0.9604,0.9604,0.9601,64.72s,None
7,575.1550,40.3063,94.20%,96.40%,0.9420,0.9420,0.9420,0.9657,0.9640,0.9635,65.28s,None
8,479.7136,38.3452,95.21%,97.03%,0.9521,0.9521,0.9521,0.9710,0.9703,0.9702,64.46s,None
9,425.4804,30.8534,95.79%,97.25%,0.9579,0.9579,0.9579,0.9731,0.9725,0.9725,64.63s,None
10,383.0535,44.2257,96.30%,96.52%,0.9630,0.9630,0.9629,0.9663,0.9652,0.9648,65.03s,None
11,262.7567,20.3745,97.46%,98.39%,0.9746,0.9746,0.9746,0.9840,0.9839,0.9839,64.42s,None
12,240.9239,15.8186,97.69%,98.64%,0.9770,0.9769,0.9769,0.9865,0.9864,0.9864,64.79s,None
13,221.3779,16.2399,97.92%,98.77%,0.9792,0.9792,0.9792,0.9878,0.9877,0.9876,65.06s,None
14,204.3245,17.0633,98.06%,98.68%,0.9806,0.9806,0.9806,0.9868,0.9868,0.9868,65.31s,None
15,198.2060,17.2025,98.10%,98.64%,0.9810,0.9810,0.9810,0.9864,0.9864,0.9863,64.94s,None
16,165.8097,15.8598,98.44%,98.81%,0.9844,0.9844,0.9844,0.9882,0.9881,0.9880,66.32s,None
17,155.4187,15.5366,98.57%,98.91%,0.9858,0.9857,0.9857,0.9892,0.9891,0.9891,64.33s,None
