Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,7276.6380,507.0388,24.23%,53.33%,0.2488,0.2423,0.2375,0.5194,0.5333,0.4909,53.98s,Simple
2,3229.4179,387.6029,64.01%,68.56%,0.6354,0.6401,0.6369,0.7325,0.6856,0.6807,83.24s,Simple
3,1831.6385,155.5449,80.93%,86.64%,0.8090,0.8093,0.8088,0.8749,0.8664,0.8647,83.71s,Simple
4,1208.3765,149.6689,87.71%,88.26%,0.8771,0.8771,0.8769,0.8885,0.8826,0.8817,92.63s,Simple
5,1001.4412,100.1315,90.09%,91.61%,0.9008,0.9009,0.9007,0.9218,0.9161,0.9167,88.47s,Simple
6,1219.7978,59.1908,88.17%,95.19%,0.8818,0.8817,0.8815,0.9546,0.9519,0.9517,47.59s,Complex
7,1014.2930,39.8654,89.92%,96.74%,0.8996,0.8992,0.8992,0.9679,0.9674,0.9672,49.69s,Complex
8,228.1293,51.8389,97.56%,96.15%,0.9755,0.9756,0.9755,0.9634,0.9615,0.9613,47.80s,Complex
9,191.4406,25.9446,97.94%,97.93%,0.9794,0.9794,0.9794,0.9795,0.9793,0.9791,53.12s,Complex
10,172.4000,23.3099,98.14%,98.17%,0.9814,0.9814,0.9814,0.9817,0.9817,0.9816,48.65s,Complex
11,87.2353,16.4859,99.06%,98.75%,0.9906,0.9906,0.9906,0.9877,0.9875,0.9875,48.84s,Complex
12,42.3780,15.6778,99.56%,99.02%,0.9956,0.9956,0.9956,0.9903,0.9902,0.9902,74.79s,Complex
13,46.9603,15.8260,99.49%,99.01%,0.9949,0.9949,0.9949,0.9901,0.9901,0.9900,74.81s,Simple
14,42.3569,20.9883,99.54%,98.59%,0.9954,0.9954,0.9954,0.9860,0.9859,0.9859,62.57s,Simple
15,34.7406,15.6502,99.62%,99.02%,0.9962,0.9962,0.9962,0.9902,0.9902,0.9901,62.63s,Simple
16,16.2695,15.1666,99.83%,99.17%,0.9983,0.9983,0.9983,0.9917,0.9917,0.9917,51.81s,Simple
17,10.2318,14.9640,99.90%,99.21%,0.9990,0.9990,0.9990,0.9921,0.9921,0.9921,51.41s,Simple
